[0Q] Lower Bones -- Body system (Lower Bones) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[0Q2] Lower Bones, Change -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0Q2YX0Z] Change Drainage Device in Lower Bone, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0Q2YXYZ] Change Other Device in Lower Bone, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0Q5] Lower Bones, Destruction -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0QUQ0JZ] Supplement Right Toe Phalanx with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0QUQ0KZ] Supplement Right Toe Phalanx with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0QUQ37Z] Supplement Right Toe Phalanx with Autologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0QUQ3JZ] Supplement Right Toe Phalanx with Synthetic Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0QUQ3KZ] Supplement Right Toe Phalanx with Nonautologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0QUQ47Z] Supplement Right Toe Phalanx with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0QUQ4JZ] Supplement Right Toe Phalanx with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0QUQ4KZ] Supplement Right Toe Phalanx with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0QUR07Z] Supplement Left Toe Phalanx with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0QUR0JZ] Supplement Left Toe Phalanx with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0QUR0KZ] Supplement Left Toe Phalanx with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0QUR37Z] Supplement Left Toe Phalanx with Autologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0QUR3JZ] Supplement Left Toe Phalanx with Synthetic Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0QUR3KZ] Supplement Left Toe Phalanx with Nonautologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0QUR47Z] Supplement Left Toe Phalanx with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0QUR4JZ] Supplement Left Toe Phalanx with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0QUR4KZ] Supplement Left Toe Phalanx with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0QUS07Z] Supplement Coccyx with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0QUS0JZ] Supplement Coccyx with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0QUS0KZ] Supplement Coccyx with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0QUS37Z] Supplement Coccyx with Autologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0QUS3JZ] Supplement Coccyx with Synthetic Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0QUS3KZ] Supplement Coccyx with Nonautologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0QUS47Z] Supplement Coccyx with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0QUS4JZ] Supplement Coccyx with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0QUS4KZ] Supplement Coccyx with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0QW] Lower Bones, Revision -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW004Z] Revision of Internal Fixation Device in Lumbar Vertebra, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW007Z] Revision of Autologous Tissue Substitute in Lumbar Vertebra, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW00JZ] Revision of Synthetic Substitute in Lumbar Vertebra, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW00KZ] Revision of Nonautologous Tissue Substitute in Lumbar Vertebra, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW034Z] Revision of Internal Fixation Device in Lumbar Vertebra, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW037Z] Revision of Autologous Tissue Substitute in Lumbar Vertebra, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW03JZ] Revision of Synthetic Substitute in Lumbar Vertebra, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW03KZ] Revision of Nonautologous Tissue Substitute in Lumbar Vertebra, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW044Z] Revision of Internal Fixation Device in Lumbar Vertebra, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW047Z] Revision of Autologous Tissue Substitute in Lumbar Vertebra, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW04JZ] Revision of Synthetic Substitute in Lumbar Vertebra, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW04KZ] Revision of Nonautologous Tissue Substitute in Lumbar Vertebra, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW0X4Z] Revision of Internal Fixation Device in Lumbar Vertebra, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW0X7Z] Revision of Autologous Tissue Substitute in Lumbar Vertebra, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW0XJZ] Revision of Synthetic Substitute in Lumbar Vertebra, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW0XKZ] Revision of Nonautologous Tissue Substitute in Lumbar Vertebra, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW104Z] Revision of Internal Fixation Device in Sacrum, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW107Z] Revision of Autologous Tissue Substitute in Sacrum, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW10JZ] Revision of Synthetic Substitute in Sacrum, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW10KZ] Revision of Nonautologous Tissue Substitute in Sacrum, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW134Z] Revision of Internal Fixation Device in Sacrum, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW137Z] Revision of Autologous Tissue Substitute in Sacrum, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW13JZ] Revision of Synthetic Substitute in Sacrum, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW13KZ] Revision of Nonautologous Tissue Substitute in Sacrum, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW144Z] Revision of Internal Fixation Device in Sacrum, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW147Z] Revision of Autologous Tissue Substitute in Sacrum, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW14JZ] Revision of Synthetic Substitute in Sacrum, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW14KZ] Revision of Nonautologous Tissue Substitute in Sacrum, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW1X4Z] Revision of Internal Fixation Device in Sacrum, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW1X7Z] Revision of Autologous Tissue Substitute in Sacrum, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW1XJZ] Revision of Synthetic Substitute in Sacrum, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW1XKZ] Revision of Nonautologous Tissue Substitute in Sacrum, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW204Z] Revision of Internal Fixation Device in Right Pelvic Bone, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW205Z] Revision of External Fixation Device in Right Pelvic Bone, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW207Z] Revision of Autologous Tissue Substitute in Right Pelvic Bone, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW20JZ] Revision of Synthetic Substitute in Right Pelvic Bone, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW20KZ] Revision of Nonautologous Tissue Substitute in Right Pelvic Bone, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW234Z] Revision of Internal Fixation Device in Right Pelvic Bone, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW235Z] Revision of External Fixation Device in Right Pelvic Bone, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW237Z] Revision of Autologous Tissue Substitute in Right Pelvic Bone, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW23JZ] Revision of Synthetic Substitute in Right Pelvic Bone, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW23KZ] Revision of Nonautologous Tissue Substitute in Right Pelvic Bone, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW244Z] Revision of Internal Fixation Device in Right Pelvic Bone, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW245Z] Revision of External Fixation Device in Right Pelvic Bone, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW247Z] Revision of Autologous Tissue Substitute in Right Pelvic Bone, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW24JZ] Revision of Synthetic Substitute in Right Pelvic Bone, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW24KZ] Revision of Nonautologous Tissue Substitute in Right Pelvic Bone, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW2X4Z] Revision of Internal Fixation Device in Right Pelvic Bone, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW2X5Z] Revision of External Fixation Device in Right Pelvic Bone, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW2X7Z] Revision of Autologous Tissue Substitute in Right Pelvic Bone, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW2XJZ] Revision of Synthetic Substitute in Right Pelvic Bone, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW2XKZ] Revision of Nonautologous Tissue Substitute in Right Pelvic Bone, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW304Z] Revision of Internal Fixation Device in Left Pelvic Bone, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW305Z] Revision of External Fixation Device in Left Pelvic Bone, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW307Z] Revision of Autologous Tissue Substitute in Left Pelvic Bone, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW30JZ] Revision of Synthetic Substitute in Left Pelvic Bone, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW30KZ] Revision of Nonautologous Tissue Substitute in Left Pelvic Bone, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW334Z] Revision of Internal Fixation Device in Left Pelvic Bone, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW335Z] Revision of External Fixation Device in Left Pelvic Bone, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW337Z] Revision of Autologous Tissue Substitute in Left Pelvic Bone, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW33JZ] Revision of Synthetic Substitute in Left Pelvic Bone, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW33KZ] Revision of Nonautologous Tissue Substitute in Left Pelvic Bone, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW344Z] Revision of Internal Fixation Device in Left Pelvic Bone, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW345Z] Revision of External Fixation Device in Left Pelvic Bone, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW347Z] Revision of Autologous Tissue Substitute in Left Pelvic Bone, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW34JZ] Revision of Synthetic Substitute in Left Pelvic Bone, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW34KZ] Revision of Nonautologous Tissue Substitute in Left Pelvic Bone, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW3X4Z] Revision of Internal Fixation Device in Left Pelvic Bone, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW3X5Z] Revision of External Fixation Device in Left Pelvic Bone, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW3X7Z] Revision of Autologous Tissue Substitute in Left Pelvic Bone, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW3XJZ] Revision of Synthetic Substitute in Left Pelvic Bone, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW3XKZ] Revision of Nonautologous Tissue Substitute in Left Pelvic Bone, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW404Z] Revision of Internal Fixation Device in Right Acetabulum, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW407Z] Revision of Autologous Tissue Substitute in Right Acetabulum, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW40JZ] Revision of Synthetic Substitute in Right Acetabulum, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW40KZ] Revision of Nonautologous Tissue Substitute in Right Acetabulum, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW434Z] Revision of Internal Fixation Device in Right Acetabulum, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW437Z] Revision of Autologous Tissue Substitute in Right Acetabulum, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW43JZ] Revision of Synthetic Substitute in Right Acetabulum, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW43KZ] Revision of Nonautologous Tissue Substitute in Right Acetabulum, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW444Z] Revision of Internal Fixation Device in Right Acetabulum, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW447Z] Revision of Autologous Tissue Substitute in Right Acetabulum, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW44JZ] Revision of Synthetic Substitute in Right Acetabulum, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW44KZ] Revision of Nonautologous Tissue Substitute in Right Acetabulum, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW4X4Z] Revision of Internal Fixation Device in Right Acetabulum, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW4X7Z] Revision of Autologous Tissue Substitute in Right Acetabulum, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW4XJZ] Revision of Synthetic Substitute in Right Acetabulum, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW4XKZ] Revision of Nonautologous Tissue Substitute in Right Acetabulum, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW504Z] Revision of Internal Fixation Device in Left Acetabulum, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW507Z] Revision of Autologous Tissue Substitute in Left Acetabulum, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW50JZ] Revision of Synthetic Substitute in Left Acetabulum, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW50KZ] Revision of Nonautologous Tissue Substitute in Left Acetabulum, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW534Z] Revision of Internal Fixation Device in Left Acetabulum, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW537Z] Revision of Autologous Tissue Substitute in Left Acetabulum, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW53JZ] Revision of Synthetic Substitute in Left Acetabulum, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW53KZ] Revision of Nonautologous Tissue Substitute in Left Acetabulum, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW544Z] Revision of Internal Fixation Device in Left Acetabulum, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW547Z] Revision of Autologous Tissue Substitute in Left Acetabulum, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW54JZ] Revision of Synthetic Substitute in Left Acetabulum, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW54KZ] Revision of Nonautologous Tissue Substitute in Left Acetabulum, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW5X4Z] Revision of Internal Fixation Device in Left Acetabulum, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW5X7Z] Revision of Autologous Tissue Substitute in Left Acetabulum, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW5XJZ] Revision of Synthetic Substitute in Left Acetabulum, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW5XKZ] Revision of Nonautologous Tissue Substitute in Left Acetabulum, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW604Z] Revision of Internal Fixation Device in Right Upper Femur, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW605Z] Revision of External Fixation Device in Right Upper Femur, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW607Z] Revision of Autologous Tissue Substitute in Right Upper Femur, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW60JZ] Revision of Synthetic Substitute in Right Upper Femur, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW60KZ] Revision of Nonautologous Tissue Substitute in Right Upper Femur, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW634Z] Revision of Internal Fixation Device in Right Upper Femur, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW635Z] Revision of External Fixation Device in Right Upper Femur, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW637Z] Revision of Autologous Tissue Substitute in Right Upper Femur, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW63JZ] Revision of Synthetic Substitute in Right Upper Femur, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW63KZ] Revision of Nonautologous Tissue Substitute in Right Upper Femur, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW644Z] Revision of Internal Fixation Device in Right Upper Femur, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW645Z] Revision of External Fixation Device in Right Upper Femur, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW647Z] Revision of Autologous Tissue Substitute in Right Upper Femur, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW64JZ] Revision of Synthetic Substitute in Right Upper Femur, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW64KZ] Revision of Nonautologous Tissue Substitute in Right Upper Femur, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW6X4Z] Revision of Internal Fixation Device in Right Upper Femur, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW6X5Z] Revision of External Fixation Device in Right Upper Femur, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW6X7Z] Revision of Autologous Tissue Substitute in Right Upper Femur, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW6XJZ] Revision of Synthetic Substitute in Right Upper Femur, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW6XKZ] Revision of Nonautologous Tissue Substitute in Right Upper Femur, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW704Z] Revision of Internal Fixation Device in Left Upper Femur, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW705Z] Revision of External Fixation Device in Left Upper Femur, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW707Z] Revision of Autologous Tissue Substitute in Left Upper Femur, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW70JZ] Revision of Synthetic Substitute in Left Upper Femur, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW70KZ] Revision of Nonautologous Tissue Substitute in Left Upper Femur, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW734Z] Revision of Internal Fixation Device in Left Upper Femur, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW735Z] Revision of External Fixation Device in Left Upper Femur, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW737Z] Revision of Autologous Tissue Substitute in Left Upper Femur, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW73JZ] Revision of Synthetic Substitute in Left Upper Femur, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW73KZ] Revision of Nonautologous Tissue Substitute in Left Upper Femur, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW744Z] Revision of Internal Fixation Device in Left Upper Femur, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW745Z] Revision of External Fixation Device in Left Upper Femur, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW747Z] Revision of Autologous Tissue Substitute in Left Upper Femur, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW74JZ] Revision of Synthetic Substitute in Left Upper Femur, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW74KZ] Revision of Nonautologous Tissue Substitute in Left Upper Femur, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW7X4Z] Revision of Internal Fixation Device in Left Upper Femur, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW7X5Z] Revision of External Fixation Device in Left Upper Femur, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW7X7Z] Revision of Autologous Tissue Substitute in Left Upper Femur, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW7XJZ] Revision of Synthetic Substitute in Left Upper Femur, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW7XKZ] Revision of Nonautologous Tissue Substitute in Left Upper Femur, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW804Z] Revision of Internal Fixation Device in Right Femoral Shaft, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW805Z] Revision of External Fixation Device in Right Femoral Shaft, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
