[0K] Muscles -- Body system (Muscles) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[0K2] Muscles, Change -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0K2XX0Z] Change Drainage Device in Upper Muscle, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0K2XXYZ] Change Other Device in Upper Muscle, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0K2YX0Z] Change Drainage Device in Lower Muscle, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0K2YXYZ] Change Other Device in Lower Muscle, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0K5] Muscles, Destruction -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0KWY0KZ] Revision of Nonautologous Tissue Substitute in Lower Muscle, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0KWY0MZ] Revision of Stimulator Lead in Lower Muscle, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0KWY0YZ] Revision of Other Device in Lower Muscle, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0KWY30Z] Revision of Drainage Device in Lower Muscle, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0KWY37Z] Revision of Autologous Tissue Substitute in Lower Muscle, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0KWY3JZ] Revision of Synthetic Substitute in Lower Muscle, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0KWY3KZ] Revision of Nonautologous Tissue Substitute in Lower Muscle, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0KWY3MZ] Revision of Stimulator Lead in Lower Muscle, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0KWY3YZ] Revision of Other Device in Lower Muscle, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0KWY40Z] Revision of Drainage Device in Lower Muscle, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0KWY47Z] Revision of Autologous Tissue Substitute in Lower Muscle, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0KWY4JZ] Revision of Synthetic Substitute in Lower Muscle, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0KWY4KZ] Revision of Nonautologous Tissue Substitute in Lower Muscle, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0KWY4MZ] Revision of Stimulator Lead in Lower Muscle, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0KWY4YZ] Revision of Other Device in Lower Muscle, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0KWYX0Z] Revision of Drainage Device in Lower Muscle, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0KWYX7Z] Revision of Autologous Tissue Substitute in Lower Muscle, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0KWYXJZ] Revision of Synthetic Substitute in Lower Muscle, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0KWYXKZ] Revision of Nonautologous Tissue Substitute in Lower Muscle, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0KWYXMZ] Revision of Stimulator Lead in Lower Muscle, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0KX] Muscles, Transfer -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX00Z0] Transfer Head Muscle with Skin, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX00Z1] Transfer Head Muscle with Subcutaneous Tissue, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX00Z2] Transfer Head Muscle with Skin and Subcutaneous Tissue, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX00ZZ] Transfer Head Muscle, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX04Z0] Transfer Head Muscle with Skin, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX04Z1] Transfer Head Muscle with Subcutaneous Tissue, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX04Z2] Transfer Head Muscle with Skin and Subcutaneous Tissue, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX04ZZ] Transfer Head Muscle, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX10Z0] Transfer Facial Muscle with Skin, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX10Z1] Transfer Facial Muscle with Subcutaneous Tissue, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX10Z2] Transfer Facial Muscle with Skin and Subcutaneous Tissue, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX10ZZ] Transfer Facial Muscle, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX14Z0] Transfer Facial Muscle with Skin, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX14Z1] Transfer Facial Muscle with Subcutaneous Tissue, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX14Z2] Transfer Facial Muscle with Skin and Subcutaneous Tissue, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX14ZZ] Transfer Facial Muscle, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX20Z0] Transfer Right Neck Muscle with Skin, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX20Z1] Transfer Right Neck Muscle with Subcutaneous Tissue, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX20Z2] Transfer Right Neck Muscle with Skin and Subcutaneous Tissue, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX20ZZ] Transfer Right Neck Muscle, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX24Z0] Transfer Right Neck Muscle with Skin, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX24Z1] Transfer Right Neck Muscle with Subcutaneous Tissue, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX24Z2] Transfer Right Neck Muscle with Skin and Subcutaneous Tissue, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX24ZZ] Transfer Right Neck Muscle, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX30Z0] Transfer Left Neck Muscle with Skin, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX30Z1] Transfer Left Neck Muscle with Subcutaneous Tissue, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX30Z2] Transfer Left Neck Muscle with Skin and Subcutaneous Tissue, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX30ZZ] Transfer Left Neck Muscle, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX34Z0] Transfer Left Neck Muscle with Skin, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX34Z1] Transfer Left Neck Muscle with Subcutaneous Tissue, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX34Z2] Transfer Left Neck Muscle with Skin and Subcutaneous Tissue, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX34ZZ] Transfer Left Neck Muscle, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX40Z0] Transfer Tongue, Palate, Pharynx Muscle with Skin, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX40Z1] Transfer Tongue, Palate, Pharynx Muscle with Subcutaneous Tissue, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX40Z2] Transfer Tongue, Palate, Pharynx Muscle with Skin and Subcutaneous Tissue, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX40ZZ] Transfer Tongue, Palate, Pharynx Muscle, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX44Z0] Transfer Tongue, Palate, Pharynx Muscle with Skin, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX44Z1] Transfer Tongue, Palate, Pharynx Muscle with Subcutaneous Tissue, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX44Z2] Transfer Tongue, Palate, Pharynx Muscle with Skin and Subcutaneous Tissue, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX44ZZ] Transfer Tongue, Palate, Pharynx Muscle, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX50Z0] Transfer Right Shoulder Muscle with Skin, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX50Z1] Transfer Right Shoulder Muscle with Subcutaneous Tissue, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX50Z2] Transfer Right Shoulder Muscle with Skin and Subcutaneous Tissue, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX50ZZ] Transfer Right Shoulder Muscle, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX54Z0] Transfer Right Shoulder Muscle with Skin, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX54Z1] Transfer Right Shoulder Muscle with Subcutaneous Tissue, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX54Z2] Transfer Right Shoulder Muscle with Skin and Subcutaneous Tissue, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX54ZZ] Transfer Right Shoulder Muscle, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX60Z0] Transfer Left Shoulder Muscle with Skin, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX60Z1] Transfer Left Shoulder Muscle with Subcutaneous Tissue, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX60Z2] Transfer Left Shoulder Muscle with Skin and Subcutaneous Tissue, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX60ZZ] Transfer Left Shoulder Muscle, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX64Z0] Transfer Left Shoulder Muscle with Skin, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX64Z1] Transfer Left Shoulder Muscle with Subcutaneous Tissue, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX64Z2] Transfer Left Shoulder Muscle with Skin and Subcutaneous Tissue, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX64ZZ] Transfer Left Shoulder Muscle, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX70Z0] Transfer Right Upper Arm Muscle with Skin, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX70Z1] Transfer Right Upper Arm Muscle with Subcutaneous Tissue, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX70Z2] Transfer Right Upper Arm Muscle with Skin and Subcutaneous Tissue, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX70ZZ] Transfer Right Upper Arm Muscle, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX74Z0] Transfer Right Upper Arm Muscle with Skin, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX74Z1] Transfer Right Upper Arm Muscle with Subcutaneous Tissue, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX74Z2] Transfer Right Upper Arm Muscle with Skin and Subcutaneous Tissue, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX74ZZ] Transfer Right Upper Arm Muscle, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX80Z0] Transfer Left Upper Arm Muscle with Skin, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX80Z1] Transfer Left Upper Arm Muscle with Subcutaneous Tissue, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX80Z2] Transfer Left Upper Arm Muscle with Skin and Subcutaneous Tissue, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX80ZZ] Transfer Left Upper Arm Muscle, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX84Z0] Transfer Left Upper Arm Muscle with Skin, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX84Z1] Transfer Left Upper Arm Muscle with Subcutaneous Tissue, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX84Z2] Transfer Left Upper Arm Muscle with Skin and Subcutaneous Tissue, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX84ZZ] Transfer Left Upper Arm Muscle, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX90Z0] Transfer Right Lower Arm and Wrist Muscle with Skin, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX90Z1] Transfer Right Lower Arm and Wrist Muscle with Subcutaneous Tissue, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX90Z2] Transfer Right Lower Arm and Wrist Muscle with Skin and Subcutaneous Tissue, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX90ZZ] Transfer Right Lower Arm and Wrist Muscle, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX94Z0] Transfer Right Lower Arm and Wrist Muscle with Skin, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX94Z1] Transfer Right Lower Arm and Wrist Muscle with Subcutaneous Tissue, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX94Z2] Transfer Right Lower Arm and Wrist Muscle with Skin and Subcutaneous Tissue, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KX94ZZ] Transfer Right Lower Arm and Wrist Muscle, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXB0Z0] Transfer Left Lower Arm and Wrist Muscle with Skin, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXB0Z1] Transfer Left Lower Arm and Wrist Muscle with Subcutaneous Tissue, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXB0Z2] Transfer Left Lower Arm and Wrist Muscle with Skin and Subcutaneous Tissue, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXB0ZZ] Transfer Left Lower Arm and Wrist Muscle, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXB4Z0] Transfer Left Lower Arm and Wrist Muscle with Skin, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXB4Z1] Transfer Left Lower Arm and Wrist Muscle with Subcutaneous Tissue, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXB4Z2] Transfer Left Lower Arm and Wrist Muscle with Skin and Subcutaneous Tissue, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXB4ZZ] Transfer Left Lower Arm and Wrist Muscle, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXC0Z0] Transfer Right Hand Muscle with Skin, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXC0Z1] Transfer Right Hand Muscle with Subcutaneous Tissue, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXC0Z2] Transfer Right Hand Muscle with Skin and Subcutaneous Tissue, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXC0ZZ] Transfer Right Hand Muscle, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXC4Z0] Transfer Right Hand Muscle with Skin, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXC4Z1] Transfer Right Hand Muscle with Subcutaneous Tissue, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXC4Z2] Transfer Right Hand Muscle with Skin and Subcutaneous Tissue, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXC4ZZ] Transfer Right Hand Muscle, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXD0Z0] Transfer Left Hand Muscle with Skin, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXD0Z1] Transfer Left Hand Muscle with Subcutaneous Tissue, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXD0Z2] Transfer Left Hand Muscle with Skin and Subcutaneous Tissue, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXD0ZZ] Transfer Left Hand Muscle, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXD4Z0] Transfer Left Hand Muscle with Skin, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXD4Z1] Transfer Left Hand Muscle with Subcutaneous Tissue, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXD4Z2] Transfer Left Hand Muscle with Skin and Subcutaneous Tissue, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXD4ZZ] Transfer Left Hand Muscle, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXF0Z0] Transfer Right Trunk Muscle with Skin, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXF0Z1] Transfer Right Trunk Muscle with Subcutaneous Tissue, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXF0Z2] Transfer Right Trunk Muscle with Skin and Subcutaneous Tissue, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXF0Z5] Transfer Right Trunk Muscle, Latissimus Dorsi Myocutaneous Flap, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXF0Z7] Transfer Right Trunk Muscle, Deep Inferior Epigastric Artery Perforator Flap, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXF0Z8] Transfer Right Trunk Muscle, Superficial Inferior Epigastric Artery Flap, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXF0Z9] Transfer Right Trunk Muscle, Gluteal Artery Perforator Flap, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXF0ZZ] Transfer Right Trunk Muscle, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXF4Z0] Transfer Right Trunk Muscle with Skin, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXF4Z1] Transfer Right Trunk Muscle with Subcutaneous Tissue, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXF4Z2] Transfer Right Trunk Muscle with Skin and Subcutaneous Tissue, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXF4Z5] Transfer Right Trunk Muscle, Latissimus Dorsi Myocutaneous Flap, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXF4Z7] Transfer Right Trunk Muscle, Deep Inferior Epigastric Artery Perforator Flap, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXF4Z8] Transfer Right Trunk Muscle, Superficial Inferior Epigastric Artery Flap, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXF4Z9] Transfer Right Trunk Muscle, Gluteal Artery Perforator Flap, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXF4ZZ] Transfer Right Trunk Muscle, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXG0Z0] Transfer Left Trunk Muscle with Skin, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXG0Z1] Transfer Left Trunk Muscle with Subcutaneous Tissue, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXG0Z2] Transfer Left Trunk Muscle with Skin and Subcutaneous Tissue, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXG0Z5] Transfer Left Trunk Muscle, Latissimus Dorsi Myocutaneous Flap, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXG0Z7] Transfer Left Trunk Muscle, Deep Inferior Epigastric Artery Perforator Flap, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXG0Z8] Transfer Left Trunk Muscle, Superficial Inferior Epigastric Artery Flap, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXG0Z9] Transfer Left Trunk Muscle, Gluteal Artery Perforator Flap, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXG0ZZ] Transfer Left Trunk Muscle, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXG4Z0] Transfer Left Trunk Muscle with Skin, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXG4Z1] Transfer Left Trunk Muscle with Subcutaneous Tissue, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXG4Z2] Transfer Left Trunk Muscle with Skin and Subcutaneous Tissue, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXG4Z5] Transfer Left Trunk Muscle, Latissimus Dorsi Myocutaneous Flap, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXG4Z7] Transfer Left Trunk Muscle, Deep Inferior Epigastric Artery Perforator Flap, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXG4Z8] Transfer Left Trunk Muscle, Superficial Inferior Epigastric Artery Flap, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXG4Z9] Transfer Left Trunk Muscle, Gluteal Artery Perforator Flap, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXG4ZZ] Transfer Left Trunk Muscle, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXH0Z0] Transfer Right Thorax Muscle with Skin, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXH0Z1] Transfer Right Thorax Muscle with Subcutaneous Tissue, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXH0Z2] Transfer Right Thorax Muscle with Skin and Subcutaneous Tissue, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXH0ZZ] Transfer Right Thorax Muscle, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXH4Z0] Transfer Right Thorax Muscle with Skin, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
