[0D] Gastrointestinal System -- Body system (Gastrointestinal System) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[0D1] Gastrointestinal System, Bypass -- Altering the route of passage of the contents of a tubular body part
[0DQK0ZZ] Repair Ascending Colon, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0DQK3ZZ] Repair Ascending Colon, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0DQK4ZZ] Repair Ascending Colon, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0DQK7ZZ] Repair Ascending Colon, Via Natural or Artificial Opening -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0DQK8ZZ] Repair Ascending Colon, Via Natural or Artificial Opening Endoscopic -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0DQL0ZZ] Repair Transverse Colon, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0DQL3ZZ] Repair Transverse Colon, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0DQL4ZZ] Repair Transverse Colon, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0DQL7ZZ] Repair Transverse Colon, Via Natural or Artificial Opening -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0DQL8ZZ] Repair Transverse Colon, Via Natural or Artificial Opening Endoscopic -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0DQM0ZZ] Repair Descending Colon, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0DQM3ZZ] Repair Descending Colon, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0DQM4ZZ] Repair Descending Colon, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0DQM7ZZ] Repair Descending Colon, Via Natural or Artificial Opening -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0DQM8ZZ] Repair Descending Colon, Via Natural or Artificial Opening Endoscopic -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0DQN0ZZ] Repair Sigmoid Colon, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0DQN3ZZ] Repair Sigmoid Colon, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0DQN4ZZ] Repair Sigmoid Colon, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0DQN7ZZ] Repair Sigmoid Colon, Via Natural or Artificial Opening -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0DQN8ZZ] Repair Sigmoid Colon, Via Natural or Artificial Opening Endoscopic -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0DQP0ZZ] Repair Rectum, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0DQP3ZZ] Repair Rectum, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0DQP4ZZ] Repair Rectum, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0DQP7ZZ] Repair Rectum, Via Natural or Artificial Opening -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0DQP8ZZ] Repair Rectum, Via Natural or Artificial Opening Endoscopic -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0DQQ0ZZ] Repair Anus, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0DQQ3ZZ] Repair Anus, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0DQQ4ZZ] Repair Anus, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0DQQ7ZZ] Repair Anus, Via Natural or Artificial Opening -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0DQQ8ZZ] Repair Anus, Via Natural or Artificial Opening Endoscopic -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0DQQXZZ] Repair Anus, External Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0DQR0ZZ] Repair Anal Sphincter, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0DQR3ZZ] Repair Anal Sphincter, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0DQR4ZZ] Repair Anal Sphincter, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0DQU0ZZ] Repair Omentum, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0DQU3ZZ] Repair Omentum, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0DQU4ZZ] Repair Omentum, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0DQV0ZZ] Repair Mesentery, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0DQV3ZZ] Repair Mesentery, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0DQV4ZZ] Repair Mesentery, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0DQW0ZZ] Repair Peritoneum, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0DQW3ZZ] Repair Peritoneum, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0DQW4ZZ] Repair Peritoneum, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0DR] Gastrointestinal System, Replacement -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0DR507Z] Replacement of Esophagus with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0DR50JZ] Replacement of Esophagus with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0DR50KZ] Replacement of Esophagus with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0DR547Z] Replacement of Esophagus with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0DR54JZ] Replacement of Esophagus with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0DR54KZ] Replacement of Esophagus with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0DR577Z] Replacement of Esophagus with Autologous Tissue Substitute, Via Natural or Artificial Opening -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0DR57JZ] Replacement of Esophagus with Synthetic Substitute, Via Natural or Artificial Opening -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0DR57KZ] Replacement of Esophagus with Nonautologous Tissue Substitute, Via Natural or Artificial Opening -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0DR587Z] Replacement of Esophagus with Autologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0DR58JZ] Replacement of Esophagus with Synthetic Substitute, Via Natural or Artificial Opening Endoscopic -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0DR58KZ] Replacement of Esophagus with Nonautologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0DRR07Z] Replacement of Anal Sphincter with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0DRR0JZ] Replacement of Anal Sphincter with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0DRR0KZ] Replacement of Anal Sphincter with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0DRR47Z] Replacement of Anal Sphincter with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0DRR4JZ] Replacement of Anal Sphincter with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0DRR4KZ] Replacement of Anal Sphincter with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0DRU07Z] Replacement of Omentum with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0DRU0JZ] Replacement of Omentum with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0DRU0KZ] Replacement of Omentum with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0DRU47Z] Replacement of Omentum with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0DRU4JZ] Replacement of Omentum with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0DRU4KZ] Replacement of Omentum with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0DRV07Z] Replacement of Mesentery with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0DRV0JZ] Replacement of Mesentery with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0DRV0KZ] Replacement of Mesentery with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0DRV47Z] Replacement of Mesentery with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0DRV4JZ] Replacement of Mesentery with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0DRV4KZ] Replacement of Mesentery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0DRW07Z] Replacement of Peritoneum with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0DRW0JZ] Replacement of Peritoneum with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0DRW0KZ] Replacement of Peritoneum with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0DRW47Z] Replacement of Peritoneum with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0DRW4JZ] Replacement of Peritoneum with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0DRW4KZ] Replacement of Peritoneum with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0DS] Gastrointestinal System, Reposition -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0DS50ZZ] Reposition Esophagus, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0DS54ZZ] Reposition Esophagus, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0DS57ZZ] Reposition Esophagus, Via Natural or Artificial Opening -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0DS58ZZ] Reposition Esophagus, Via Natural or Artificial Opening Endoscopic -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0DS5XZZ] Reposition Esophagus, External Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0DS60ZZ] Reposition Stomach, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0DS64ZZ] Reposition Stomach, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0DS67ZZ] Reposition Stomach, Via Natural or Artificial Opening -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0DS68ZZ] Reposition Stomach, Via Natural or Artificial Opening Endoscopic -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0DS6XZZ] Reposition Stomach, External Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0DS80ZZ] Reposition Small Intestine, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0DS84ZZ] Reposition Small Intestine, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0DS87ZZ] Reposition Small Intestine, Via Natural or Artificial Opening -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0DS88ZZ] Reposition Small Intestine, Via Natural or Artificial Opening Endoscopic -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0DS90ZZ] Reposition Duodenum, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0DS94ZZ] Reposition Duodenum, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0DS97ZZ] Reposition Duodenum, Via Natural or Artificial Opening -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0DS98ZZ] Reposition Duodenum, Via Natural or Artificial Opening Endoscopic -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0DS9XZZ] Reposition Duodenum, External Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0DSA0ZZ] Reposition Jejunum, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0DSA4ZZ] Reposition Jejunum, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0DSA7ZZ] Reposition Jejunum, Via Natural or Artificial Opening -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0DSA8ZZ] Reposition Jejunum, Via Natural or Artificial Opening Endoscopic -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0DSAXZZ] Reposition Jejunum, External Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0DSB0ZZ] Reposition Ileum, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0DSB4ZZ] Reposition Ileum, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0DSB7ZZ] Reposition Ileum, Via Natural or Artificial Opening -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0DSB8ZZ] Reposition Ileum, Via Natural or Artificial Opening Endoscopic -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0DSBXZZ] Reposition Ileum, External Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0DSE0ZZ] Reposition Large Intestine, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0DSE4ZZ] Reposition Large Intestine, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0DSE7ZZ] Reposition Large Intestine, Via Natural or Artificial Opening -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0DSE8ZZ] Reposition Large Intestine, Via Natural or Artificial Opening Endoscopic -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0DSH0ZZ] Reposition Cecum, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0DSH4ZZ] Reposition Cecum, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0DSH7ZZ] Reposition Cecum, Via Natural or Artificial Opening -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0DSH8ZZ] Reposition Cecum, Via Natural or Artificial Opening Endoscopic -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0DSHXZZ] Reposition Cecum, External Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0DSK0ZZ] Reposition Ascending Colon, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0DSK4ZZ] Reposition Ascending Colon, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0DSK7ZZ] Reposition Ascending Colon, Via Natural or Artificial Opening -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0DSK8ZZ] Reposition Ascending Colon, Via Natural or Artificial Opening Endoscopic -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0DSKXZZ] Reposition Ascending Colon, External Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0DSL0ZZ] Reposition Transverse Colon, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0DSL4ZZ] Reposition Transverse Colon, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0DSL7ZZ] Reposition Transverse Colon, Via Natural or Artificial Opening -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0DSL8ZZ] Reposition Transverse Colon, Via Natural or Artificial Opening Endoscopic -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0DSLXZZ] Reposition Transverse Colon, External Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0DSM0ZZ] Reposition Descending Colon, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0DSM4ZZ] Reposition Descending Colon, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0DSM7ZZ] Reposition Descending Colon, Via Natural or Artificial Opening -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0DSM8ZZ] Reposition Descending Colon, Via Natural or Artificial Opening Endoscopic -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0DSMXZZ] Reposition Descending Colon, External Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0DSN0ZZ] Reposition Sigmoid Colon, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0DSN4ZZ] Reposition Sigmoid Colon, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0DSN7ZZ] Reposition Sigmoid Colon, Via Natural or Artificial Opening -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0DSN8ZZ] Reposition Sigmoid Colon, Via Natural or Artificial Opening Endoscopic -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0DSNXZZ] Reposition Sigmoid Colon, External Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0DSP0ZZ] Reposition Rectum, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0DSP4ZZ] Reposition Rectum, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0DSP7ZZ] Reposition Rectum, Via Natural or Artificial Opening -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0DSP8ZZ] Reposition Rectum, Via Natural or Artificial Opening Endoscopic -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0DSPXZZ] Reposition Rectum, External Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0DSQ0ZZ] Reposition Anus, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0DSQ4ZZ] Reposition Anus, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0DSQ7ZZ] Reposition Anus, Via Natural or Artificial Opening -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0DSQ8ZZ] Reposition Anus, Via Natural or Artificial Opening Endoscopic -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0DSQXZZ] Reposition Anus, External Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0DT] Gastrointestinal System, Resection -- Cutting out or off, without replacement, all of a body part
[0DT10ZZ] Resection of Upper Esophagus, Open Approach -- Cutting out or off, without replacement, all of a body part
[0DT14ZZ] Resection of Upper Esophagus, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0DT17ZZ] Resection of Upper Esophagus, Via Natural or Artificial Opening -- Cutting out or off, without replacement, all of a body part
[0DT18ZZ] Resection of Upper Esophagus, Via Natural or Artificial Opening Endoscopic -- Cutting out or off, without replacement, all of a body part
[0DT20ZZ] Resection of Middle Esophagus, Open Approach -- Cutting out or off, without replacement, all of a body part
[0DT24ZZ] Resection of Middle Esophagus, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0DT27ZZ] Resection of Middle Esophagus, Via Natural or Artificial Opening -- Cutting out or off, without replacement, all of a body part
[0DT28ZZ] Resection of Middle Esophagus, Via Natural or Artificial Opening Endoscopic -- Cutting out or off, without replacement, all of a body part
[0DT30ZZ] Resection of Lower Esophagus, Open Approach -- Cutting out or off, without replacement, all of a body part
[0DT34ZZ] Resection of Lower Esophagus, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0DT37ZZ] Resection of Lower Esophagus, Via Natural or Artificial Opening -- Cutting out or off, without replacement, all of a body part
[0DT38ZZ] Resection of Lower Esophagus, Via Natural or Artificial Opening Endoscopic -- Cutting out or off, without replacement, all of a body part
[0DT40ZZ] Resection of Esophagogastric Junction, Open Approach -- Cutting out or off, without replacement, all of a body part
[0DT44ZZ] Resection of Esophagogastric Junction, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0DT47ZZ] Resection of Esophagogastric Junction, Via Natural or Artificial Opening -- Cutting out or off, without replacement, all of a body part
[0DT48ZZ] Resection of Esophagogastric Junction, Via Natural or Artificial Opening Endoscopic -- Cutting out or off, without replacement, all of a body part
[0DT50ZZ] Resection of Esophagus, Open Approach -- Cutting out or off, without replacement, all of a body part
[0DT54ZZ] Resection of Esophagus, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0DT57ZZ] Resection of Esophagus, Via Natural or Artificial Opening -- Cutting out or off, without replacement, all of a body part
[0DT58ZZ] Resection of Esophagus, Via Natural or Artificial Opening Endoscopic -- Cutting out or off, without replacement, all of a body part
[0DT60ZZ] Resection of Stomach, Open Approach -- Cutting out or off, without replacement, all of a body part
[0DT64ZZ] Resection of Stomach, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0DT67ZZ] Resection of Stomach, Via Natural or Artificial Opening -- Cutting out or off, without replacement, all of a body part
[0DT68ZZ] Resection of Stomach, Via Natural or Artificial Opening Endoscopic -- Cutting out or off, without replacement, all of a body part
[0DT70ZZ] Resection of Stomach, Pylorus, Open Approach -- Cutting out or off, without replacement, all of a body part
[0DT74ZZ] Resection of Stomach, Pylorus, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0DT77ZZ] Resection of Stomach, Pylorus, Via Natural or Artificial Opening -- Cutting out or off, without replacement, all of a body part
[0DT78ZZ] Resection of Stomach, Pylorus, Via Natural or Artificial Opening Endoscopic -- Cutting out or off, without replacement, all of a body part
[0DT80ZZ] Resection of Small Intestine, Open Approach -- Cutting out or off, without replacement, all of a body part
[0DT84ZZ] Resection of Small Intestine, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0DT87ZZ] Resection of Small Intestine, Via Natural or Artificial Opening -- Cutting out or off, without replacement, all of a body part
[0DT88ZZ] Resection of Small Intestine, Via Natural or Artificial Opening Endoscopic -- Cutting out or off, without replacement, all of a body part
[0DT90ZZ] Resection of Duodenum, Open Approach -- Cutting out or off, without replacement, all of a body part
[0DT94ZZ] Resection of Duodenum, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0DT97ZZ] Resection of Duodenum, Via Natural or Artificial Opening -- Cutting out or off, without replacement, all of a body part
[0DT98ZZ] Resection of Duodenum, Via Natural or Artificial Opening Endoscopic -- Cutting out or off, without replacement, all of a body part
[0DTA0ZZ] Resection of Jejunum, Open Approach -- Cutting out or off, without replacement, all of a body part
[0DTA4ZZ] Resection of Jejunum, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0DTA7ZZ] Resection of Jejunum, Via Natural or Artificial Opening -- Cutting out or off, without replacement, all of a body part
[0DTA8ZZ] Resection of Jejunum, Via Natural or Artificial Opening Endoscopic -- Cutting out or off, without replacement, all of a body part
[0DTB0ZZ] Resection of Ileum, Open Approach -- Cutting out or off, without replacement, all of a body part
[0DTB4ZZ] Resection of Ileum, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0DTB7ZZ] Resection of Ileum, Via Natural or Artificial Opening -- Cutting out or off, without replacement, all of a body part
[0DTB8ZZ] Resection of Ileum, Via Natural or Artificial Opening Endoscopic -- Cutting out or off, without replacement, all of a body part
[0DTC0ZZ] Resection of Ileocecal Valve, Open Approach -- Cutting out or off, without replacement, all of a body part
[0DTC4ZZ] Resection of Ileocecal Valve, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0DTC7ZZ] Resection of Ileocecal Valve, Via Natural or Artificial Opening -- Cutting out or off, without replacement, all of a body part
[0DTC8ZZ] Resection of Ileocecal Valve, Via Natural or Artificial Opening Endoscopic -- Cutting out or off, without replacement, all of a body part
[0DTE0ZZ] Resection of Large Intestine, Open Approach -- Cutting out or off, without replacement, all of a body part
[0DTE4ZZ] Resection of Large Intestine, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0DTE7ZZ] Resection of Large Intestine, Via Natural or Artificial Opening -- Cutting out or off, without replacement, all of a body part
[0DTE8ZZ] Resection of Large Intestine, Via Natural or Artificial Opening Endoscopic -- Cutting out or off, without replacement, all of a body part
[0DTF0ZZ] Resection of Right Large Intestine, Open Approach -- Cutting out or off, without replacement, all of a body part
[0DTF4ZG] Resection of Right Large Intestine, Percutaneous Endoscopic Approach, Hand-Assisted -- Cutting out or off, without replacement, all of a body part
[0DTF4ZZ] Resection of Right Large Intestine, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0DTF7ZZ] Resection of Right Large Intestine, Via Natural or Artificial Opening -- Cutting out or off, without replacement, all of a body part
[0DTF8ZZ] Resection of Right Large Intestine, Via Natural or Artificial Opening Endoscopic -- Cutting out or off, without replacement, all of a body part
[0DTG0ZZ] Resection of Left Large Intestine, Open Approach -- Cutting out or off, without replacement, all of a body part
[0DTG4ZG] Resection of Left Large Intestine, Percutaneous Endoscopic Approach, Hand-Assisted -- Cutting out or off, without replacement, all of a body part
[0DTG4ZZ] Resection of Left Large Intestine, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0DTG7ZZ] Resection of Left Large Intestine, Via Natural or Artificial Opening -- Cutting out or off, without replacement, all of a body part
[0DTG8ZZ] Resection of Left Large Intestine, Via Natural or Artificial Opening Endoscopic -- Cutting out or off, without replacement, all of a body part
[0DTGFZZ] Resection of Left Large Intestine, Via Natural or Artificial Opening With Percutaneous Endoscopic Assistance -- Cutting out or off, without replacement, all of a body part
[0DTH0ZZ] Resection of Cecum, Open Approach -- Cutting out or off, without replacement, all of a body part
[0DTH4ZZ] Resection of Cecum, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0DTH7ZZ] Resection of Cecum, Via Natural or Artificial Opening -- Cutting out or off, without replacement, all of a body part
[0DTH8ZZ] Resection of Cecum, Via Natural or Artificial Opening Endoscopic -- Cutting out or off, without replacement, all of a body part
[0DTJ0ZZ] Resection of Appendix, Open Approach -- Cutting out or off, without replacement, all of a body part
[0DTJ4ZG] Resection of Appendix, Percutaneous Endoscopic Approach, Hand-Assisted -- Cutting out or off, without replacement, all of a body part
[0DTJ4ZZ] Resection of Appendix, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
