[01] Peripheral Nervous System -- Body system (Peripheral Nervous System) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[012] Peripheral Nervous System, Change -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[012YX0Z] Change Drainage Device in Peripheral Nerve, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[012YXYZ] Change Other Device in Peripheral Nerve, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[015] Peripheral Nervous System, Destruction -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[01SH4ZZ] Reposition Peroneal Nerve, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[01SQ0ZZ] Reposition Sacral Plexus, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[01SQ3ZZ] Reposition Sacral Plexus, Percutaneous Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[01SQ4ZZ] Reposition Sacral Plexus, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[01SR0ZZ] Reposition Sacral Nerve, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[01SR3ZZ] Reposition Sacral Nerve, Percutaneous Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[01SR4ZZ] Reposition Sacral Nerve, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[01U] Peripheral Nervous System, Supplement -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01U107Z] Supplement Cervical Nerve with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01U10JZ] Supplement Cervical Nerve with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01U10KZ] Supplement Cervical Nerve with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01U137Z] Supplement Cervical Nerve with Autologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01U13JZ] Supplement Cervical Nerve with Synthetic Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01U13KZ] Supplement Cervical Nerve with Nonautologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01U147Z] Supplement Cervical Nerve with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01U14JZ] Supplement Cervical Nerve with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01U14KZ] Supplement Cervical Nerve with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01U207Z] Supplement Phrenic Nerve with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01U20JZ] Supplement Phrenic Nerve with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01U20KZ] Supplement Phrenic Nerve with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01U237Z] Supplement Phrenic Nerve with Autologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01U23JZ] Supplement Phrenic Nerve with Synthetic Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01U23KZ] Supplement Phrenic Nerve with Nonautologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01U247Z] Supplement Phrenic Nerve with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01U24JZ] Supplement Phrenic Nerve with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01U24KZ] Supplement Phrenic Nerve with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01U407Z] Supplement Ulnar Nerve with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01U40JZ] Supplement Ulnar Nerve with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01U40KZ] Supplement Ulnar Nerve with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01U437Z] Supplement Ulnar Nerve with Autologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01U43JZ] Supplement Ulnar Nerve with Synthetic Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01U43KZ] Supplement Ulnar Nerve with Nonautologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01U447Z] Supplement Ulnar Nerve with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01U44JZ] Supplement Ulnar Nerve with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01U44KZ] Supplement Ulnar Nerve with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01U507Z] Supplement Median Nerve with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01U50JZ] Supplement Median Nerve with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01U50KZ] Supplement Median Nerve with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01U537Z] Supplement Median Nerve with Autologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01U53JZ] Supplement Median Nerve with Synthetic Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01U53KZ] Supplement Median Nerve with Nonautologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01U547Z] Supplement Median Nerve with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01U54JZ] Supplement Median Nerve with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01U54KZ] Supplement Median Nerve with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01U607Z] Supplement Radial Nerve with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01U60JZ] Supplement Radial Nerve with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01U60KZ] Supplement Radial Nerve with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01U637Z] Supplement Radial Nerve with Autologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01U63JZ] Supplement Radial Nerve with Synthetic Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01U63KZ] Supplement Radial Nerve with Nonautologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01U647Z] Supplement Radial Nerve with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01U64JZ] Supplement Radial Nerve with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01U64KZ] Supplement Radial Nerve with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01U807Z] Supplement Thoracic Nerve with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01U80JZ] Supplement Thoracic Nerve with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01U80KZ] Supplement Thoracic Nerve with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01U837Z] Supplement Thoracic Nerve with Autologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01U83JZ] Supplement Thoracic Nerve with Synthetic Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01U83KZ] Supplement Thoracic Nerve with Nonautologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01U847Z] Supplement Thoracic Nerve with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01U84JZ] Supplement Thoracic Nerve with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01U84KZ] Supplement Thoracic Nerve with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01UB07Z] Supplement Lumbar Nerve with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01UB0JZ] Supplement Lumbar Nerve with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01UB0KZ] Supplement Lumbar Nerve with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01UB37Z] Supplement Lumbar Nerve with Autologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01UB3JZ] Supplement Lumbar Nerve with Synthetic Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01UB3KZ] Supplement Lumbar Nerve with Nonautologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01UB47Z] Supplement Lumbar Nerve with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01UB4JZ] Supplement Lumbar Nerve with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01UB4KZ] Supplement Lumbar Nerve with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01UC07Z] Supplement Pudendal Nerve with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01UC0JZ] Supplement Pudendal Nerve with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01UC0KZ] Supplement Pudendal Nerve with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01UC37Z] Supplement Pudendal Nerve with Autologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01UC3JZ] Supplement Pudendal Nerve with Synthetic Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01UC3KZ] Supplement Pudendal Nerve with Nonautologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01UC47Z] Supplement Pudendal Nerve with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01UC4JZ] Supplement Pudendal Nerve with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01UC4KZ] Supplement Pudendal Nerve with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01UD07Z] Supplement Femoral Nerve with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01UD0JZ] Supplement Femoral Nerve with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01UD0KZ] Supplement Femoral Nerve with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01UD37Z] Supplement Femoral Nerve with Autologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01UD3JZ] Supplement Femoral Nerve with Synthetic Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01UD3KZ] Supplement Femoral Nerve with Nonautologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01UD47Z] Supplement Femoral Nerve with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01UD4JZ] Supplement Femoral Nerve with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01UD4KZ] Supplement Femoral Nerve with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01UF07Z] Supplement Sciatic Nerve with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01UF0JZ] Supplement Sciatic Nerve with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01UF0KZ] Supplement Sciatic Nerve with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01UF37Z] Supplement Sciatic Nerve with Autologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01UF3JZ] Supplement Sciatic Nerve with Synthetic Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01UF3KZ] Supplement Sciatic Nerve with Nonautologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01UF47Z] Supplement Sciatic Nerve with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01UF4JZ] Supplement Sciatic Nerve with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01UF4KZ] Supplement Sciatic Nerve with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01UG07Z] Supplement Tibial Nerve with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01UG0JZ] Supplement Tibial Nerve with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01UG0KZ] Supplement Tibial Nerve with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01UG37Z] Supplement Tibial Nerve with Autologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01UG3JZ] Supplement Tibial Nerve with Synthetic Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01UG3KZ] Supplement Tibial Nerve with Nonautologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01UG47Z] Supplement Tibial Nerve with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01UG4JZ] Supplement Tibial Nerve with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01UG4KZ] Supplement Tibial Nerve with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01UH07Z] Supplement Peroneal Nerve with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01UH0JZ] Supplement Peroneal Nerve with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01UH0KZ] Supplement Peroneal Nerve with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01UH37Z] Supplement Peroneal Nerve with Autologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01UH3JZ] Supplement Peroneal Nerve with Synthetic Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01UH3KZ] Supplement Peroneal Nerve with Nonautologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01UH47Z] Supplement Peroneal Nerve with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01UH4JZ] Supplement Peroneal Nerve with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01UH4KZ] Supplement Peroneal Nerve with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01UR07Z] Supplement Sacral Nerve with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01UR0JZ] Supplement Sacral Nerve with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01UR0KZ] Supplement Sacral Nerve with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01UR37Z] Supplement Sacral Nerve with Autologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01UR3JZ] Supplement Sacral Nerve with Synthetic Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01UR3KZ] Supplement Sacral Nerve with Nonautologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01UR47Z] Supplement Sacral Nerve with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01UR4JZ] Supplement Sacral Nerve with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01UR4KZ] Supplement Sacral Nerve with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[01W] Peripheral Nervous System, Revision -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[01WY00Z] Revision of Drainage Device in Peripheral Nerve, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[01WY02Z] Revision of Monitoring Device in Peripheral Nerve, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[01WY07Z] Revision of Autologous Tissue Substitute in Peripheral Nerve, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[01WY0MZ] Revision of Neurostimulator Lead in Peripheral Nerve, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[01WY0YZ] Revision of Other Device in Peripheral Nerve, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[01WY30Z] Revision of Drainage Device in Peripheral Nerve, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[01WY32Z] Revision of Monitoring Device in Peripheral Nerve, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[01WY37Z] Revision of Autologous Tissue Substitute in Peripheral Nerve, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[01WY3MZ] Revision of Neurostimulator Lead in Peripheral Nerve, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[01WY3YZ] Revision of Other Device in Peripheral Nerve, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[01WY40Z] Revision of Drainage Device in Peripheral Nerve, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[01WY42Z] Revision of Monitoring Device in Peripheral Nerve, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[01WY47Z] Revision of Autologous Tissue Substitute in Peripheral Nerve, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[01WY4MZ] Revision of Neurostimulator Lead in Peripheral Nerve, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[01WY4YZ] Revision of Other Device in Peripheral Nerve, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[01WYX0Z] Revision of Drainage Device in Peripheral Nerve, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[01WYX2Z] Revision of Monitoring Device in Peripheral Nerve, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[01WYX7Z] Revision of Autologous Tissue Substitute in Peripheral Nerve, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[01WYXMZ] Revision of Neurostimulator Lead in Peripheral Nerve, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[01X] Peripheral Nervous System, Transfer -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[01X10Z1] Transfer Cervical Nerve to Cervical Nerve, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[01X10Z2] Transfer Cervical Nerve to Phrenic Nerve, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[01X14Z1] Transfer Cervical Nerve to Cervical Nerve, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[01X14Z2] Transfer Cervical Nerve to Phrenic Nerve, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[01X20Z1] Transfer Phrenic Nerve to Cervical Nerve, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[01X20Z2] Transfer Phrenic Nerve to Phrenic Nerve, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[01X24Z1] Transfer Phrenic Nerve to Cervical Nerve, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[01X24Z2] Transfer Phrenic Nerve to Phrenic Nerve, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[01X40Z4] Transfer Ulnar Nerve to Ulnar Nerve, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[01X40Z5] Transfer Ulnar Nerve to Median Nerve, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[01X40Z6] Transfer Ulnar Nerve to Radial Nerve, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[01X44Z4] Transfer Ulnar Nerve to Ulnar Nerve, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[01X44Z5] Transfer Ulnar Nerve to Median Nerve, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[01X44Z6] Transfer Ulnar Nerve to Radial Nerve, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[01X50Z4] Transfer Median Nerve to Ulnar Nerve, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[01X50Z5] Transfer Median Nerve to Median Nerve, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[01X50Z6] Transfer Median Nerve to Radial Nerve, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[01X54Z4] Transfer Median Nerve to Ulnar Nerve, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[01X54Z5] Transfer Median Nerve to Median Nerve, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[01X54Z6] Transfer Median Nerve to Radial Nerve, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[01X60Z4] Transfer Radial Nerve to Ulnar Nerve, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[01X60Z5] Transfer Radial Nerve to Median Nerve, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[01X60Z6] Transfer Radial Nerve to Radial Nerve, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[01X64Z4] Transfer Radial Nerve to Ulnar Nerve, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
