[0B] Respiratory System -- Body system (Respiratory System) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[0B1] Respiratory System, Bypass -- Altering the route of passage of the contents of a tubular body part
[0B110D6] Bypass Trachea to Esophagus with Intraluminal Device, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0B110F4] Bypass Trachea to Cutaneous with Tracheostomy Device, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0B110Z4] Bypass Trachea to Cutaneous, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0B113F4] Bypass Trachea to Cutaneous with Tracheostomy Device, Percutaneous Approach -- Altering the route of passage of the contents of a tubular body part
[0B113Z4] Bypass Trachea to Cutaneous, Percutaneous Approach -- Altering the route of passage of the contents of a tubular body part
[0B114F4] Bypass Trachea to Cutaneous with Tracheostomy Device, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0B114Z4] Bypass Trachea to Cutaneous, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0B2] Respiratory System, Change -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B20X0Z] Change Drainage Device in Tracheobronchial Tree, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B20XYZ] Change Other Device in Tracheobronchial Tree, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B21X0Z] Change Drainage Device in Trachea, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B21XEZ] Change Endotracheal Airway in Trachea, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B21XFZ] Change Tracheostomy Device in Trachea, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B21XYZ] Change Other Device in Trachea, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B2KX0Z] Change Drainage Device in Right Lung, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B2KXYZ] Change Other Device in Right Lung, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B2LX0Z] Change Drainage Device in Left Lung, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B2LXYZ] Change Other Device in Left Lung, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B2QX0Z] Change Drainage Device in Pleura, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B2QXYZ] Change Other Device in Pleura, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B2TX0Z] Change Drainage Device in Diaphragm, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B2TXYZ] Change Other Device in Diaphragm, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B5] Respiratory System, Destruction -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0BV13CZ] Restriction of Trachea with Extraluminal Device, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV13DZ] Restriction of Trachea with Intraluminal Device, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV13ZZ] Restriction of Trachea, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV14CZ] Restriction of Trachea with Extraluminal Device, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV14DZ] Restriction of Trachea with Intraluminal Device, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV14ZZ] Restriction of Trachea, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV17DZ] Restriction of Trachea with Intraluminal Device, Via Natural or Artificial Opening -- Partially closing an orifice or the lumen of a tubular body part
[0BV17ZZ] Restriction of Trachea, Via Natural or Artificial Opening -- Partially closing an orifice or the lumen of a tubular body part
[0BV18DZ] Restriction of Trachea with Intraluminal Device, Via Natural or Artificial Opening Endoscopic -- Partially closing an orifice or the lumen of a tubular body part
[0BV18ZZ] Restriction of Trachea, Via Natural or Artificial Opening Endoscopic -- Partially closing an orifice or the lumen of a tubular body part
[0BV20CZ] Restriction of Carina with Extraluminal Device, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV20DZ] Restriction of Carina with Intraluminal Device, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV20ZZ] Restriction of Carina, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV23CZ] Restriction of Carina with Extraluminal Device, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV23DZ] Restriction of Carina with Intraluminal Device, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV23ZZ] Restriction of Carina, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV24CZ] Restriction of Carina with Extraluminal Device, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV24DZ] Restriction of Carina with Intraluminal Device, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV24ZZ] Restriction of Carina, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV27DZ] Restriction of Carina with Intraluminal Device, Via Natural or Artificial Opening -- Partially closing an orifice or the lumen of a tubular body part
[0BV27ZZ] Restriction of Carina, Via Natural or Artificial Opening -- Partially closing an orifice or the lumen of a tubular body part
[0BV28DZ] Restriction of Carina with Intraluminal Device, Via Natural or Artificial Opening Endoscopic -- Partially closing an orifice or the lumen of a tubular body part
[0BV28ZZ] Restriction of Carina, Via Natural or Artificial Opening Endoscopic -- Partially closing an orifice or the lumen of a tubular body part
[0BV30CZ] Restriction of Right Main Bronchus with Extraluminal Device, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV30DZ] Restriction of Right Main Bronchus with Intraluminal Device, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV30ZZ] Restriction of Right Main Bronchus, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV33CZ] Restriction of Right Main Bronchus with Extraluminal Device, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV33DZ] Restriction of Right Main Bronchus with Intraluminal Device, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV33ZZ] Restriction of Right Main Bronchus, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV34CZ] Restriction of Right Main Bronchus with Extraluminal Device, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV34DZ] Restriction of Right Main Bronchus with Intraluminal Device, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV34ZZ] Restriction of Right Main Bronchus, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV37DZ] Restriction of Right Main Bronchus with Intraluminal Device, Via Natural or Artificial Opening -- Partially closing an orifice or the lumen of a tubular body part
[0BV37ZZ] Restriction of Right Main Bronchus, Via Natural or Artificial Opening -- Partially closing an orifice or the lumen of a tubular body part
[0BV38DZ] Restriction of Right Main Bronchus with Intraluminal Device, Via Natural or Artificial Opening Endoscopic -- Partially closing an orifice or the lumen of a tubular body part
[0BV38ZZ] Restriction of Right Main Bronchus, Via Natural or Artificial Opening Endoscopic -- Partially closing an orifice or the lumen of a tubular body part
[0BV40CZ] Restriction of Right Upper Lobe Bronchus with Extraluminal Device, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV40DZ] Restriction of Right Upper Lobe Bronchus with Intraluminal Device, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV40ZZ] Restriction of Right Upper Lobe Bronchus, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV43CZ] Restriction of Right Upper Lobe Bronchus with Extraluminal Device, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV43DZ] Restriction of Right Upper Lobe Bronchus with Intraluminal Device, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV43ZZ] Restriction of Right Upper Lobe Bronchus, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV44CZ] Restriction of Right Upper Lobe Bronchus with Extraluminal Device, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV44DZ] Restriction of Right Upper Lobe Bronchus with Intraluminal Device, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV44ZZ] Restriction of Right Upper Lobe Bronchus, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV47DZ] Restriction of Right Upper Lobe Bronchus with Intraluminal Device, Via Natural or Artificial Opening -- Partially closing an orifice or the lumen of a tubular body part
[0BV47ZZ] Restriction of Right Upper Lobe Bronchus, Via Natural or Artificial Opening -- Partially closing an orifice or the lumen of a tubular body part
[0BV48DZ] Restriction of Right Upper Lobe Bronchus with Intraluminal Device, Via Natural or Artificial Opening Endoscopic -- Partially closing an orifice or the lumen of a tubular body part
[0BV48ZZ] Restriction of Right Upper Lobe Bronchus, Via Natural or Artificial Opening Endoscopic -- Partially closing an orifice or the lumen of a tubular body part
[0BV50CZ] Restriction of Right Middle Lobe Bronchus with Extraluminal Device, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV50DZ] Restriction of Right Middle Lobe Bronchus with Intraluminal Device, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV50ZZ] Restriction of Right Middle Lobe Bronchus, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV53CZ] Restriction of Right Middle Lobe Bronchus with Extraluminal Device, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV53DZ] Restriction of Right Middle Lobe Bronchus with Intraluminal Device, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV53ZZ] Restriction of Right Middle Lobe Bronchus, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV54CZ] Restriction of Right Middle Lobe Bronchus with Extraluminal Device, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV54DZ] Restriction of Right Middle Lobe Bronchus with Intraluminal Device, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV54ZZ] Restriction of Right Middle Lobe Bronchus, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV57DZ] Restriction of Right Middle Lobe Bronchus with Intraluminal Device, Via Natural or Artificial Opening -- Partially closing an orifice or the lumen of a tubular body part
[0BV57ZZ] Restriction of Right Middle Lobe Bronchus, Via Natural or Artificial Opening -- Partially closing an orifice or the lumen of a tubular body part
[0BV58DZ] Restriction of Right Middle Lobe Bronchus with Intraluminal Device, Via Natural or Artificial Opening Endoscopic -- Partially closing an orifice or the lumen of a tubular body part
[0BV58ZZ] Restriction of Right Middle Lobe Bronchus, Via Natural or Artificial Opening Endoscopic -- Partially closing an orifice or the lumen of a tubular body part
[0BV60CZ] Restriction of Right Lower Lobe Bronchus with Extraluminal Device, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV60DZ] Restriction of Right Lower Lobe Bronchus with Intraluminal Device, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV60ZZ] Restriction of Right Lower Lobe Bronchus, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV63CZ] Restriction of Right Lower Lobe Bronchus with Extraluminal Device, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV63DZ] Restriction of Right Lower Lobe Bronchus with Intraluminal Device, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV63ZZ] Restriction of Right Lower Lobe Bronchus, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV64CZ] Restriction of Right Lower Lobe Bronchus with Extraluminal Device, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV64DZ] Restriction of Right Lower Lobe Bronchus with Intraluminal Device, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV64ZZ] Restriction of Right Lower Lobe Bronchus, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV67DZ] Restriction of Right Lower Lobe Bronchus with Intraluminal Device, Via Natural or Artificial Opening -- Partially closing an orifice or the lumen of a tubular body part
[0BV67ZZ] Restriction of Right Lower Lobe Bronchus, Via Natural or Artificial Opening -- Partially closing an orifice or the lumen of a tubular body part
[0BV68DZ] Restriction of Right Lower Lobe Bronchus with Intraluminal Device, Via Natural or Artificial Opening Endoscopic -- Partially closing an orifice or the lumen of a tubular body part
[0BV68ZZ] Restriction of Right Lower Lobe Bronchus, Via Natural or Artificial Opening Endoscopic -- Partially closing an orifice or the lumen of a tubular body part
[0BV70CZ] Restriction of Left Main Bronchus with Extraluminal Device, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV70DZ] Restriction of Left Main Bronchus with Intraluminal Device, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV70ZZ] Restriction of Left Main Bronchus, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV73CZ] Restriction of Left Main Bronchus with Extraluminal Device, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV73DZ] Restriction of Left Main Bronchus with Intraluminal Device, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV73ZZ] Restriction of Left Main Bronchus, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV74CZ] Restriction of Left Main Bronchus with Extraluminal Device, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV74DZ] Restriction of Left Main Bronchus with Intraluminal Device, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV74ZZ] Restriction of Left Main Bronchus, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV77DZ] Restriction of Left Main Bronchus with Intraluminal Device, Via Natural or Artificial Opening -- Partially closing an orifice or the lumen of a tubular body part
[0BV77ZZ] Restriction of Left Main Bronchus, Via Natural or Artificial Opening -- Partially closing an orifice or the lumen of a tubular body part
[0BV78DZ] Restriction of Left Main Bronchus with Intraluminal Device, Via Natural or Artificial Opening Endoscopic -- Partially closing an orifice or the lumen of a tubular body part
[0BV78ZZ] Restriction of Left Main Bronchus, Via Natural or Artificial Opening Endoscopic -- Partially closing an orifice or the lumen of a tubular body part
[0BV80CZ] Restriction of Left Upper Lobe Bronchus with Extraluminal Device, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV80DZ] Restriction of Left Upper Lobe Bronchus with Intraluminal Device, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV80ZZ] Restriction of Left Upper Lobe Bronchus, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV83CZ] Restriction of Left Upper Lobe Bronchus with Extraluminal Device, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV83DZ] Restriction of Left Upper Lobe Bronchus with Intraluminal Device, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV83ZZ] Restriction of Left Upper Lobe Bronchus, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV84CZ] Restriction of Left Upper Lobe Bronchus with Extraluminal Device, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV84DZ] Restriction of Left Upper Lobe Bronchus with Intraluminal Device, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV84ZZ] Restriction of Left Upper Lobe Bronchus, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV87DZ] Restriction of Left Upper Lobe Bronchus with Intraluminal Device, Via Natural or Artificial Opening -- Partially closing an orifice or the lumen of a tubular body part
[0BV87ZZ] Restriction of Left Upper Lobe Bronchus, Via Natural or Artificial Opening -- Partially closing an orifice or the lumen of a tubular body part
[0BV88DZ] Restriction of Left Upper Lobe Bronchus with Intraluminal Device, Via Natural or Artificial Opening Endoscopic -- Partially closing an orifice or the lumen of a tubular body part
[0BV88ZZ] Restriction of Left Upper Lobe Bronchus, Via Natural or Artificial Opening Endoscopic -- Partially closing an orifice or the lumen of a tubular body part
[0BV90CZ] Restriction of Lingula Bronchus with Extraluminal Device, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV90DZ] Restriction of Lingula Bronchus with Intraluminal Device, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV90ZZ] Restriction of Lingula Bronchus, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV93CZ] Restriction of Lingula Bronchus with Extraluminal Device, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV93DZ] Restriction of Lingula Bronchus with Intraluminal Device, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV93ZZ] Restriction of Lingula Bronchus, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV94CZ] Restriction of Lingula Bronchus with Extraluminal Device, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV94DZ] Restriction of Lingula Bronchus with Intraluminal Device, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV94ZZ] Restriction of Lingula Bronchus, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BV97DZ] Restriction of Lingula Bronchus with Intraluminal Device, Via Natural or Artificial Opening -- Partially closing an orifice or the lumen of a tubular body part
[0BV97ZZ] Restriction of Lingula Bronchus, Via Natural or Artificial Opening -- Partially closing an orifice or the lumen of a tubular body part
[0BV98DZ] Restriction of Lingula Bronchus with Intraluminal Device, Via Natural or Artificial Opening Endoscopic -- Partially closing an orifice or the lumen of a tubular body part
[0BV98ZZ] Restriction of Lingula Bronchus, Via Natural or Artificial Opening Endoscopic -- Partially closing an orifice or the lumen of a tubular body part
[0BVB0CZ] Restriction of Left Lower Lobe Bronchus with Extraluminal Device, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BVB0DZ] Restriction of Left Lower Lobe Bronchus with Intraluminal Device, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BVB0ZZ] Restriction of Left Lower Lobe Bronchus, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BVB3CZ] Restriction of Left Lower Lobe Bronchus with Extraluminal Device, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BVB3DZ] Restriction of Left Lower Lobe Bronchus with Intraluminal Device, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BVB3ZZ] Restriction of Left Lower Lobe Bronchus, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BVB4CZ] Restriction of Left Lower Lobe Bronchus with Extraluminal Device, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BVB4DZ] Restriction of Left Lower Lobe Bronchus with Intraluminal Device, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BVB4ZZ] Restriction of Left Lower Lobe Bronchus, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[0BVB7DZ] Restriction of Left Lower Lobe Bronchus with Intraluminal Device, Via Natural or Artificial Opening -- Partially closing an orifice or the lumen of a tubular body part
[0BVB7ZZ] Restriction of Left Lower Lobe Bronchus, Via Natural or Artificial Opening -- Partially closing an orifice or the lumen of a tubular body part
[0BVB8DZ] Restriction of Left Lower Lobe Bronchus with Intraluminal Device, Via Natural or Artificial Opening Endoscopic -- Partially closing an orifice or the lumen of a tubular body part
[0BVB8ZZ] Restriction of Left Lower Lobe Bronchus, Via Natural or Artificial Opening Endoscopic -- Partially closing an orifice or the lumen of a tubular body part
[0BW] Respiratory System, Revision -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW000Z] Revision of Drainage Device in Tracheobronchial Tree, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW002Z] Revision of Monitoring Device in Tracheobronchial Tree, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW003Z] Revision of Infusion Device in Tracheobronchial Tree, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW007Z] Revision of Autologous Tissue Substitute in Tracheobronchial Tree, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW00CZ] Revision of Extraluminal Device in Tracheobronchial Tree, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW00DZ] Revision of Intraluminal Device in Tracheobronchial Tree, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW00JZ] Revision of Synthetic Substitute in Tracheobronchial Tree, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW00KZ] Revision of Nonautologous Tissue Substitute in Tracheobronchial Tree, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW00YZ] Revision of Other Device in Tracheobronchial Tree, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW030Z] Revision of Drainage Device in Tracheobronchial Tree, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW032Z] Revision of Monitoring Device in Tracheobronchial Tree, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW033Z] Revision of Infusion Device in Tracheobronchial Tree, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW037Z] Revision of Autologous Tissue Substitute in Tracheobronchial Tree, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW03CZ] Revision of Extraluminal Device in Tracheobronchial Tree, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW03DZ] Revision of Intraluminal Device in Tracheobronchial Tree, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW03JZ] Revision of Synthetic Substitute in Tracheobronchial Tree, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW03KZ] Revision of Nonautologous Tissue Substitute in Tracheobronchial Tree, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW03YZ] Revision of Other Device in Tracheobronchial Tree, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW040Z] Revision of Drainage Device in Tracheobronchial Tree, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW042Z] Revision of Monitoring Device in Tracheobronchial Tree, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW043Z] Revision of Infusion Device in Tracheobronchial Tree, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW047Z] Revision of Autologous Tissue Substitute in Tracheobronchial Tree, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW04CZ] Revision of Extraluminal Device in Tracheobronchial Tree, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW04DZ] Revision of Intraluminal Device in Tracheobronchial Tree, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW04JZ] Revision of Synthetic Substitute in Tracheobronchial Tree, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW04KZ] Revision of Nonautologous Tissue Substitute in Tracheobronchial Tree, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW04YZ] Revision of Other Device in Tracheobronchial Tree, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW070Z] Revision of Drainage Device in Tracheobronchial Tree, Via Natural or Artificial Opening -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW072Z] Revision of Monitoring Device in Tracheobronchial Tree, Via Natural or Artificial Opening -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW073Z] Revision of Infusion Device in Tracheobronchial Tree, Via Natural or Artificial Opening -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW077Z] Revision of Autologous Tissue Substitute in Tracheobronchial Tree, Via Natural or Artificial Opening -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW07CZ] Revision of Extraluminal Device in Tracheobronchial Tree, Via Natural or Artificial Opening -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW07DZ] Revision of Intraluminal Device in Tracheobronchial Tree, Via Natural or Artificial Opening -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW07JZ] Revision of Synthetic Substitute in Tracheobronchial Tree, Via Natural or Artificial Opening -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW07KZ] Revision of Nonautologous Tissue Substitute in Tracheobronchial Tree, Via Natural or Artificial Opening -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW07YZ] Revision of Other Device in Tracheobronchial Tree, Via Natural or Artificial Opening -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW080Z] Revision of Drainage Device in Tracheobronchial Tree, Via Natural or Artificial Opening Endoscopic -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW082Z] Revision of Monitoring Device in Tracheobronchial Tree, Via Natural or Artificial Opening Endoscopic -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW083Z] Revision of Infusion Device in Tracheobronchial Tree, Via Natural or Artificial Opening Endoscopic -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW087Z] Revision of Autologous Tissue Substitute in Tracheobronchial Tree, Via Natural or Artificial Opening Endoscopic -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW08CZ] Revision of Extraluminal Device in Tracheobronchial Tree, Via Natural or Artificial Opening Endoscopic -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW08DZ] Revision of Intraluminal Device in Tracheobronchial Tree, Via Natural or Artificial Opening Endoscopic -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW08JZ] Revision of Synthetic Substitute in Tracheobronchial Tree, Via Natural or Artificial Opening Endoscopic -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW08KZ] Revision of Nonautologous Tissue Substitute in Tracheobronchial Tree, Via Natural or Artificial Opening Endoscopic -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
