[0N] Head and Facial Bones -- Body system (Head and Facial Bones) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[0N2] Head and Facial Bones, Change -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0N20X0Z] Change Drainage Device in Skull, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0N20XYZ] Change Other Device in Skull, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0N2BX0Z] Change Drainage Device in Nasal Bone, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0N2BXYZ] Change Other Device in Nasal Bone, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0N2WX0Z] Change Drainage Device in Facial Bone, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0N2WXYZ] Change Other Device in Facial Bone, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0N5] Head and Facial Bones, Destruction -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0NT10ZZ] Resection of Frontal Bone, Open Approach -- Cutting out or off, without replacement, all of a body part
[0NT30ZZ] Resection of Right Parietal Bone, Open Approach -- Cutting out or off, without replacement, all of a body part
[0NT40ZZ] Resection of Left Parietal Bone, Open Approach -- Cutting out or off, without replacement, all of a body part
[0NT50ZZ] Resection of Right Temporal Bone, Open Approach -- Cutting out or off, without replacement, all of a body part
[0NT60ZZ] Resection of Left Temporal Bone, Open Approach -- Cutting out or off, without replacement, all of a body part
[0NT70ZZ] Resection of Occipital Bone, Open Approach -- Cutting out or off, without replacement, all of a body part
[0NTB0ZZ] Resection of Nasal Bone, Open Approach -- Cutting out or off, without replacement, all of a body part
[0NTC0ZZ] Resection of Sphenoid Bone, Open Approach -- Cutting out or off, without replacement, all of a body part
[0NTF0ZZ] Resection of Right Ethmoid Bone, Open Approach -- Cutting out or off, without replacement, all of a body part
[0NTG0ZZ] Resection of Left Ethmoid Bone, Open Approach -- Cutting out or off, without replacement, all of a body part
[0NTH0ZZ] Resection of Right Lacrimal Bone, Open Approach -- Cutting out or off, without replacement, all of a body part
[0NTJ0ZZ] Resection of Left Lacrimal Bone, Open Approach -- Cutting out or off, without replacement, all of a body part
[0NTK0ZZ] Resection of Right Palatine Bone, Open Approach -- Cutting out or off, without replacement, all of a body part
[0NTL0ZZ] Resection of Left Palatine Bone, Open Approach -- Cutting out or off, without replacement, all of a body part
[0NTM0ZZ] Resection of Right Zygomatic Bone, Open Approach -- Cutting out or off, without replacement, all of a body part
[0NTN0ZZ] Resection of Left Zygomatic Bone, Open Approach -- Cutting out or off, without replacement, all of a body part
[0NTP0ZZ] Resection of Right Orbit, Open Approach -- Cutting out or off, without replacement, all of a body part
[0NTQ0ZZ] Resection of Left Orbit, Open Approach -- Cutting out or off, without replacement, all of a body part
[0NTR0ZZ] Resection of Maxilla, Open Approach -- Cutting out or off, without replacement, all of a body part
[0NTT0ZZ] Resection of Right Mandible, Open Approach -- Cutting out or off, without replacement, all of a body part
[0NTV0ZZ] Resection of Left Mandible, Open Approach -- Cutting out or off, without replacement, all of a body part
[0NTX0ZZ] Resection of Hyoid Bone, Open Approach -- Cutting out or off, without replacement, all of a body part
[0NU] Head and Facial Bones, Supplement -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NU007Z] Supplement Skull with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NU00JZ] Supplement Skull with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NU00KZ] Supplement Skull with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NU037Z] Supplement Skull with Autologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NU03JZ] Supplement Skull with Synthetic Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NU03KZ] Supplement Skull with Nonautologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NU047Z] Supplement Skull with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NU04JZ] Supplement Skull with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NU04KZ] Supplement Skull with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NU107Z] Supplement Frontal Bone with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NU10JZ] Supplement Frontal Bone with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NU10KZ] Supplement Frontal Bone with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NU137Z] Supplement Frontal Bone with Autologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NU13JZ] Supplement Frontal Bone with Synthetic Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NU13KZ] Supplement Frontal Bone with Nonautologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NU147Z] Supplement Frontal Bone with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NU14JZ] Supplement Frontal Bone with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NU14KZ] Supplement Frontal Bone with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NU307Z] Supplement Right Parietal Bone with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NU30JZ] Supplement Right Parietal Bone with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NU30KZ] Supplement Right Parietal Bone with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NU337Z] Supplement Right Parietal Bone with Autologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NU33JZ] Supplement Right Parietal Bone with Synthetic Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NU33KZ] Supplement Right Parietal Bone with Nonautologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NU347Z] Supplement Right Parietal Bone with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NU34JZ] Supplement Right Parietal Bone with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NU34KZ] Supplement Right Parietal Bone with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NU407Z] Supplement Left Parietal Bone with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NU40JZ] Supplement Left Parietal Bone with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NU40KZ] Supplement Left Parietal Bone with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NU437Z] Supplement Left Parietal Bone with Autologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NU43JZ] Supplement Left Parietal Bone with Synthetic Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NU43KZ] Supplement Left Parietal Bone with Nonautologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NU447Z] Supplement Left Parietal Bone with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NU44JZ] Supplement Left Parietal Bone with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NU44KZ] Supplement Left Parietal Bone with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NU507Z] Supplement Right Temporal Bone with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NU50JZ] Supplement Right Temporal Bone with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NU50KZ] Supplement Right Temporal Bone with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NU537Z] Supplement Right Temporal Bone with Autologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NU53JZ] Supplement Right Temporal Bone with Synthetic Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NU53KZ] Supplement Right Temporal Bone with Nonautologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NU547Z] Supplement Right Temporal Bone with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NU54JZ] Supplement Right Temporal Bone with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NU54KZ] Supplement Right Temporal Bone with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NU607Z] Supplement Left Temporal Bone with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NU60JZ] Supplement Left Temporal Bone with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NU60KZ] Supplement Left Temporal Bone with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NU637Z] Supplement Left Temporal Bone with Autologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NU63JZ] Supplement Left Temporal Bone with Synthetic Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NU63KZ] Supplement Left Temporal Bone with Nonautologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NU647Z] Supplement Left Temporal Bone with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NU64JZ] Supplement Left Temporal Bone with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NU64KZ] Supplement Left Temporal Bone with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NU707Z] Supplement Occipital Bone with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NU70JZ] Supplement Occipital Bone with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NU70KZ] Supplement Occipital Bone with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NU737Z] Supplement Occipital Bone with Autologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NU73JZ] Supplement Occipital Bone with Synthetic Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NU73KZ] Supplement Occipital Bone with Nonautologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NU747Z] Supplement Occipital Bone with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NU74JZ] Supplement Occipital Bone with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NU74KZ] Supplement Occipital Bone with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUB07Z] Supplement Nasal Bone with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUB0JZ] Supplement Nasal Bone with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUB0KZ] Supplement Nasal Bone with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUB37Z] Supplement Nasal Bone with Autologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUB3JZ] Supplement Nasal Bone with Synthetic Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUB3KZ] Supplement Nasal Bone with Nonautologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUB47Z] Supplement Nasal Bone with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUB4JZ] Supplement Nasal Bone with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUB4KZ] Supplement Nasal Bone with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUC07Z] Supplement Sphenoid Bone with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUC0JZ] Supplement Sphenoid Bone with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUC0KZ] Supplement Sphenoid Bone with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUC37Z] Supplement Sphenoid Bone with Autologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUC3JZ] Supplement Sphenoid Bone with Synthetic Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUC3KZ] Supplement Sphenoid Bone with Nonautologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUC47Z] Supplement Sphenoid Bone with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUC4JZ] Supplement Sphenoid Bone with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUC4KZ] Supplement Sphenoid Bone with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUF07Z] Supplement Right Ethmoid Bone with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUF0JZ] Supplement Right Ethmoid Bone with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUF0KZ] Supplement Right Ethmoid Bone with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUF37Z] Supplement Right Ethmoid Bone with Autologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUF3JZ] Supplement Right Ethmoid Bone with Synthetic Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUF3KZ] Supplement Right Ethmoid Bone with Nonautologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUF47Z] Supplement Right Ethmoid Bone with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUF4JZ] Supplement Right Ethmoid Bone with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUF4KZ] Supplement Right Ethmoid Bone with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUG07Z] Supplement Left Ethmoid Bone with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUG0JZ] Supplement Left Ethmoid Bone with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUG0KZ] Supplement Left Ethmoid Bone with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUG37Z] Supplement Left Ethmoid Bone with Autologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUG3JZ] Supplement Left Ethmoid Bone with Synthetic Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUG3KZ] Supplement Left Ethmoid Bone with Nonautologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUG47Z] Supplement Left Ethmoid Bone with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUG4JZ] Supplement Left Ethmoid Bone with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUG4KZ] Supplement Left Ethmoid Bone with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUH07Z] Supplement Right Lacrimal Bone with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUH0JZ] Supplement Right Lacrimal Bone with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUH0KZ] Supplement Right Lacrimal Bone with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUH37Z] Supplement Right Lacrimal Bone with Autologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUH3JZ] Supplement Right Lacrimal Bone with Synthetic Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUH3KZ] Supplement Right Lacrimal Bone with Nonautologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUH47Z] Supplement Right Lacrimal Bone with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUH4JZ] Supplement Right Lacrimal Bone with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUH4KZ] Supplement Right Lacrimal Bone with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUJ07Z] Supplement Left Lacrimal Bone with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUJ0JZ] Supplement Left Lacrimal Bone with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUJ0KZ] Supplement Left Lacrimal Bone with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUJ37Z] Supplement Left Lacrimal Bone with Autologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUJ3JZ] Supplement Left Lacrimal Bone with Synthetic Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUJ3KZ] Supplement Left Lacrimal Bone with Nonautologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUJ47Z] Supplement Left Lacrimal Bone with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUJ4JZ] Supplement Left Lacrimal Bone with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUJ4KZ] Supplement Left Lacrimal Bone with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUK07Z] Supplement Right Palatine Bone with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUK0JZ] Supplement Right Palatine Bone with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUK0KZ] Supplement Right Palatine Bone with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUK37Z] Supplement Right Palatine Bone with Autologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUK3JZ] Supplement Right Palatine Bone with Synthetic Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUK3KZ] Supplement Right Palatine Bone with Nonautologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUK47Z] Supplement Right Palatine Bone with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUK4JZ] Supplement Right Palatine Bone with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUK4KZ] Supplement Right Palatine Bone with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUL07Z] Supplement Left Palatine Bone with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUL0JZ] Supplement Left Palatine Bone with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUL0KZ] Supplement Left Palatine Bone with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUL37Z] Supplement Left Palatine Bone with Autologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUL3JZ] Supplement Left Palatine Bone with Synthetic Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUL3KZ] Supplement Left Palatine Bone with Nonautologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUL47Z] Supplement Left Palatine Bone with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUL4JZ] Supplement Left Palatine Bone with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUL4KZ] Supplement Left Palatine Bone with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUM07Z] Supplement Right Zygomatic Bone with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUM0JZ] Supplement Right Zygomatic Bone with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUM0KZ] Supplement Right Zygomatic Bone with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUM37Z] Supplement Right Zygomatic Bone with Autologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUM3JZ] Supplement Right Zygomatic Bone with Synthetic Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUM3KZ] Supplement Right Zygomatic Bone with Nonautologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUM47Z] Supplement Right Zygomatic Bone with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0NUM4JZ] Supplement Right Zygomatic Bone with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
