[0F] Hepatobiliary System and Pancreas -- Body system (Hepatobiliary System and Pancreas) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[0F1] Hepatobiliary System and Pancreas, Bypass -- Altering the route of passage of the contents of a tubular body part
[0FU607Z] Supplement Left Hepatic Duct with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FU60JZ] Supplement Left Hepatic Duct with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FU60KZ] Supplement Left Hepatic Duct with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FU637Z] Supplement Left Hepatic Duct with Autologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FU63JZ] Supplement Left Hepatic Duct with Synthetic Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FU63KZ] Supplement Left Hepatic Duct with Nonautologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FU647Z] Supplement Left Hepatic Duct with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FU64JZ] Supplement Left Hepatic Duct with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FU64KZ] Supplement Left Hepatic Duct with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FU687Z] Supplement Left Hepatic Duct with Autologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FU68JZ] Supplement Left Hepatic Duct with Synthetic Substitute, Via Natural or Artificial Opening Endoscopic -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FU68KZ] Supplement Left Hepatic Duct with Nonautologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FU707Z] Supplement Common Hepatic Duct with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FU70JZ] Supplement Common Hepatic Duct with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FU70KZ] Supplement Common Hepatic Duct with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FU737Z] Supplement Common Hepatic Duct with Autologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FU73JZ] Supplement Common Hepatic Duct with Synthetic Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FU73KZ] Supplement Common Hepatic Duct with Nonautologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FU747Z] Supplement Common Hepatic Duct with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FU74JZ] Supplement Common Hepatic Duct with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FU74KZ] Supplement Common Hepatic Duct with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FU787Z] Supplement Common Hepatic Duct with Autologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FU78JZ] Supplement Common Hepatic Duct with Synthetic Substitute, Via Natural or Artificial Opening Endoscopic -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FU78KZ] Supplement Common Hepatic Duct with Nonautologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FU807Z] Supplement Cystic Duct with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FU80JZ] Supplement Cystic Duct with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FU80KZ] Supplement Cystic Duct with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FU837Z] Supplement Cystic Duct with Autologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FU83JZ] Supplement Cystic Duct with Synthetic Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FU83KZ] Supplement Cystic Duct with Nonautologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FU847Z] Supplement Cystic Duct with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FU84JZ] Supplement Cystic Duct with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FU84KZ] Supplement Cystic Duct with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FU887Z] Supplement Cystic Duct with Autologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FU88JZ] Supplement Cystic Duct with Synthetic Substitute, Via Natural or Artificial Opening Endoscopic -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FU88KZ] Supplement Cystic Duct with Nonautologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FU907Z] Supplement Common Bile Duct with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FU90JZ] Supplement Common Bile Duct with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FU90KZ] Supplement Common Bile Duct with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FU937Z] Supplement Common Bile Duct with Autologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FU93JZ] Supplement Common Bile Duct with Synthetic Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FU93KZ] Supplement Common Bile Duct with Nonautologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FU947Z] Supplement Common Bile Duct with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FU94JZ] Supplement Common Bile Duct with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FU94KZ] Supplement Common Bile Duct with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FU987Z] Supplement Common Bile Duct with Autologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FU98JZ] Supplement Common Bile Duct with Synthetic Substitute, Via Natural or Artificial Opening Endoscopic -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FU98KZ] Supplement Common Bile Duct with Nonautologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FUC07Z] Supplement Ampulla of Vater with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FUC0JZ] Supplement Ampulla of Vater with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FUC0KZ] Supplement Ampulla of Vater with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FUC37Z] Supplement Ampulla of Vater with Autologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FUC3JZ] Supplement Ampulla of Vater with Synthetic Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FUC3KZ] Supplement Ampulla of Vater with Nonautologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FUC47Z] Supplement Ampulla of Vater with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FUC4JZ] Supplement Ampulla of Vater with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FUC4KZ] Supplement Ampulla of Vater with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FUC87Z] Supplement Ampulla of Vater with Autologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FUC8JZ] Supplement Ampulla of Vater with Synthetic Substitute, Via Natural or Artificial Opening Endoscopic -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FUC8KZ] Supplement Ampulla of Vater with Nonautologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FUD07Z] Supplement Pancreatic Duct with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FUD0JZ] Supplement Pancreatic Duct with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FUD0KZ] Supplement Pancreatic Duct with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FUD37Z] Supplement Pancreatic Duct with Autologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FUD3JZ] Supplement Pancreatic Duct with Synthetic Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FUD3KZ] Supplement Pancreatic Duct with Nonautologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FUD47Z] Supplement Pancreatic Duct with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FUD4JZ] Supplement Pancreatic Duct with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FUD4KZ] Supplement Pancreatic Duct with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FUD87Z] Supplement Pancreatic Duct with Autologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FUD8JZ] Supplement Pancreatic Duct with Synthetic Substitute, Via Natural or Artificial Opening Endoscopic -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FUD8KZ] Supplement Pancreatic Duct with Nonautologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FUF07Z] Supplement Accessory Pancreatic Duct with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FUF0JZ] Supplement Accessory Pancreatic Duct with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FUF0KZ] Supplement Accessory Pancreatic Duct with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FUF37Z] Supplement Accessory Pancreatic Duct with Autologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FUF3JZ] Supplement Accessory Pancreatic Duct with Synthetic Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FUF3KZ] Supplement Accessory Pancreatic Duct with Nonautologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FUF47Z] Supplement Accessory Pancreatic Duct with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FUF4JZ] Supplement Accessory Pancreatic Duct with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FUF4KZ] Supplement Accessory Pancreatic Duct with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FUF87Z] Supplement Accessory Pancreatic Duct with Autologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FUF8JZ] Supplement Accessory Pancreatic Duct with Synthetic Substitute, Via Natural or Artificial Opening Endoscopic -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FUF8KZ] Supplement Accessory Pancreatic Duct with Nonautologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0FV] Hepatobiliary System and Pancreas, Restriction -- Partially closing an orifice or the lumen of a tubular body part
[0FV50CZ] Restriction of Right Hepatic Duct with Extraluminal Device, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[0FV50DZ] Restriction of Right Hepatic Duct with Intraluminal Device, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[0FV50ZZ] Restriction of Right Hepatic Duct, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[0FV53CZ] Restriction of Right Hepatic Duct with Extraluminal Device, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[0FV53DZ] Restriction of Right Hepatic Duct with Intraluminal Device, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[0FV53ZZ] Restriction of Right Hepatic Duct, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[0FV54CZ] Restriction of Right Hepatic Duct with Extraluminal Device, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[0FV54DZ] Restriction of Right Hepatic Duct with Intraluminal Device, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[0FV54ZZ] Restriction of Right Hepatic Duct, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[0FV57DZ] Restriction of Right Hepatic Duct with Intraluminal Device, Via Natural or Artificial Opening -- Partially closing an orifice or the lumen of a tubular body part
[0FV57ZZ] Restriction of Right Hepatic Duct, Via Natural or Artificial Opening -- Partially closing an orifice or the lumen of a tubular body part
[0FV58DZ] Restriction of Right Hepatic Duct with Intraluminal Device, Via Natural or Artificial Opening Endoscopic -- Partially closing an orifice or the lumen of a tubular body part
[0FV58ZZ] Restriction of Right Hepatic Duct, Via Natural or Artificial Opening Endoscopic -- Partially closing an orifice or the lumen of a tubular body part
[0FV60CZ] Restriction of Left Hepatic Duct with Extraluminal Device, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[0FV60DZ] Restriction of Left Hepatic Duct with Intraluminal Device, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[0FV60ZZ] Restriction of Left Hepatic Duct, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[0FV63CZ] Restriction of Left Hepatic Duct with Extraluminal Device, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[0FV63DZ] Restriction of Left Hepatic Duct with Intraluminal Device, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[0FV63ZZ] Restriction of Left Hepatic Duct, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[0FV64CZ] Restriction of Left Hepatic Duct with Extraluminal Device, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[0FV64DZ] Restriction of Left Hepatic Duct with Intraluminal Device, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[0FV64ZZ] Restriction of Left Hepatic Duct, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[0FV67DZ] Restriction of Left Hepatic Duct with Intraluminal Device, Via Natural or Artificial Opening -- Partially closing an orifice or the lumen of a tubular body part
[0FV67ZZ] Restriction of Left Hepatic Duct, Via Natural or Artificial Opening -- Partially closing an orifice or the lumen of a tubular body part
[0FV68DZ] Restriction of Left Hepatic Duct with Intraluminal Device, Via Natural or Artificial Opening Endoscopic -- Partially closing an orifice or the lumen of a tubular body part
[0FV68ZZ] Restriction of Left Hepatic Duct, Via Natural or Artificial Opening Endoscopic -- Partially closing an orifice or the lumen of a tubular body part
[0FV70CZ] Restriction of Common Hepatic Duct with Extraluminal Device, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[0FV70DZ] Restriction of Common Hepatic Duct with Intraluminal Device, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[0FV70ZZ] Restriction of Common Hepatic Duct, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[0FV73CZ] Restriction of Common Hepatic Duct with Extraluminal Device, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[0FV73DZ] Restriction of Common Hepatic Duct with Intraluminal Device, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[0FV73ZZ] Restriction of Common Hepatic Duct, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[0FV74CZ] Restriction of Common Hepatic Duct with Extraluminal Device, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[0FV74DZ] Restriction of Common Hepatic Duct with Intraluminal Device, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[0FV74ZZ] Restriction of Common Hepatic Duct, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[0FV77DZ] Restriction of Common Hepatic Duct with Intraluminal Device, Via Natural or Artificial Opening -- Partially closing an orifice or the lumen of a tubular body part
[0FV77ZZ] Restriction of Common Hepatic Duct, Via Natural or Artificial Opening -- Partially closing an orifice or the lumen of a tubular body part
[0FV78DZ] Restriction of Common Hepatic Duct with Intraluminal Device, Via Natural or Artificial Opening Endoscopic -- Partially closing an orifice or the lumen of a tubular body part
[0FV78ZZ] Restriction of Common Hepatic Duct, Via Natural or Artificial Opening Endoscopic -- Partially closing an orifice or the lumen of a tubular body part
[0FV80CZ] Restriction of Cystic Duct with Extraluminal Device, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[0FV80DZ] Restriction of Cystic Duct with Intraluminal Device, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[0FV80ZZ] Restriction of Cystic Duct, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[0FV83CZ] Restriction of Cystic Duct with Extraluminal Device, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[0FV83DZ] Restriction of Cystic Duct with Intraluminal Device, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[0FV83ZZ] Restriction of Cystic Duct, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[0FV84CZ] Restriction of Cystic Duct with Extraluminal Device, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[0FV84DZ] Restriction of Cystic Duct with Intraluminal Device, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[0FV84ZZ] Restriction of Cystic Duct, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[0FV87DZ] Restriction of Cystic Duct with Intraluminal Device, Via Natural or Artificial Opening -- Partially closing an orifice or the lumen of a tubular body part
[0FV87ZZ] Restriction of Cystic Duct, Via Natural or Artificial Opening -- Partially closing an orifice or the lumen of a tubular body part
[0FV88DZ] Restriction of Cystic Duct with Intraluminal Device, Via Natural or Artificial Opening Endoscopic -- Partially closing an orifice or the lumen of a tubular body part
[0FV88ZZ] Restriction of Cystic Duct, Via Natural or Artificial Opening Endoscopic -- Partially closing an orifice or the lumen of a tubular body part
[0FV90CZ] Restriction of Common Bile Duct with Extraluminal Device, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[0FV90DZ] Restriction of Common Bile Duct with Intraluminal Device, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[0FV90ZZ] Restriction of Common Bile Duct, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[0FV93CZ] Restriction of Common Bile Duct with Extraluminal Device, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[0FV93DZ] Restriction of Common Bile Duct with Intraluminal Device, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[0FV93ZZ] Restriction of Common Bile Duct, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[0FV94CZ] Restriction of Common Bile Duct with Extraluminal Device, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[0FV94DZ] Restriction of Common Bile Duct with Intraluminal Device, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[0FV94ZZ] Restriction of Common Bile Duct, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[0FV97DZ] Restriction of Common Bile Duct with Intraluminal Device, Via Natural or Artificial Opening -- Partially closing an orifice or the lumen of a tubular body part
[0FV97ZZ] Restriction of Common Bile Duct, Via Natural or Artificial Opening -- Partially closing an orifice or the lumen of a tubular body part
[0FV98DZ] Restriction of Common Bile Duct with Intraluminal Device, Via Natural or Artificial Opening Endoscopic -- Partially closing an orifice or the lumen of a tubular body part
[0FV98ZZ] Restriction of Common Bile Duct, Via Natural or Artificial Opening Endoscopic -- Partially closing an orifice or the lumen of a tubular body part
[0FVC0CZ] Restriction of Ampulla of Vater with Extraluminal Device, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[0FVC0DZ] Restriction of Ampulla of Vater with Intraluminal Device, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[0FVC0ZZ] Restriction of Ampulla of Vater, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[0FVC3CZ] Restriction of Ampulla of Vater with Extraluminal Device, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[0FVC3DZ] Restriction of Ampulla of Vater with Intraluminal Device, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[0FVC3ZZ] Restriction of Ampulla of Vater, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[0FVC4CZ] Restriction of Ampulla of Vater with Extraluminal Device, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[0FVC4DZ] Restriction of Ampulla of Vater with Intraluminal Device, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[0FVC4ZZ] Restriction of Ampulla of Vater, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[0FVC7DZ] Restriction of Ampulla of Vater with Intraluminal Device, Via Natural or Artificial Opening -- Partially closing an orifice or the lumen of a tubular body part
[0FVC7ZZ] Restriction of Ampulla of Vater, Via Natural or Artificial Opening -- Partially closing an orifice or the lumen of a tubular body part
[0FVC8DZ] Restriction of Ampulla of Vater with Intraluminal Device, Via Natural or Artificial Opening Endoscopic -- Partially closing an orifice or the lumen of a tubular body part
[0FVC8ZZ] Restriction of Ampulla of Vater, Via Natural or Artificial Opening Endoscopic -- Partially closing an orifice or the lumen of a tubular body part
[0FVD0CZ] Restriction of Pancreatic Duct with Extraluminal Device, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[0FVD0DZ] Restriction of Pancreatic Duct with Intraluminal Device, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[0FVD0ZZ] Restriction of Pancreatic Duct, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[0FVD3CZ] Restriction of Pancreatic Duct with Extraluminal Device, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[0FVD3DZ] Restriction of Pancreatic Duct with Intraluminal Device, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[0FVD3ZZ] Restriction of Pancreatic Duct, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[0FVD4CZ] Restriction of Pancreatic Duct with Extraluminal Device, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[0FVD4DZ] Restriction of Pancreatic Duct with Intraluminal Device, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[0FVD4ZZ] Restriction of Pancreatic Duct, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[0FVD7DZ] Restriction of Pancreatic Duct with Intraluminal Device, Via Natural or Artificial Opening -- Partially closing an orifice or the lumen of a tubular body part
[0FVD7ZZ] Restriction of Pancreatic Duct, Via Natural or Artificial Opening -- Partially closing an orifice or the lumen of a tubular body part
[0FVD8DZ] Restriction of Pancreatic Duct with Intraluminal Device, Via Natural or Artificial Opening Endoscopic -- Partially closing an orifice or the lumen of a tubular body part
[0FVD8ZZ] Restriction of Pancreatic Duct, Via Natural or Artificial Opening Endoscopic -- Partially closing an orifice or the lumen of a tubular body part
[0FVF0CZ] Restriction of Accessory Pancreatic Duct with Extraluminal Device, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[0FVF0DZ] Restriction of Accessory Pancreatic Duct with Intraluminal Device, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[0FVF0ZZ] Restriction of Accessory Pancreatic Duct, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[0FVF3CZ] Restriction of Accessory Pancreatic Duct with Extraluminal Device, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[0FVF3DZ] Restriction of Accessory Pancreatic Duct with Intraluminal Device, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[0FVF3ZZ] Restriction of Accessory Pancreatic Duct, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[0FVF4CZ] Restriction of Accessory Pancreatic Duct with Extraluminal Device, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
