[07] Lymphatic and Hemic Systems -- Body system (Lymphatic and Hemic Systems) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[071] Lymphatic and Hemic Systems, Bypass -- Altering the route of passage of the contents of a tubular body part
[07U10JZ] Supplement Right Neck Lymphatic with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07U10KZ] Supplement Right Neck Lymphatic with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07U147Z] Supplement Right Neck Lymphatic with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07U14JZ] Supplement Right Neck Lymphatic with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07U14KZ] Supplement Right Neck Lymphatic with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07U207Z] Supplement Left Neck Lymphatic with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07U20JZ] Supplement Left Neck Lymphatic with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07U20KZ] Supplement Left Neck Lymphatic with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07U247Z] Supplement Left Neck Lymphatic with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07U24JZ] Supplement Left Neck Lymphatic with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07U24KZ] Supplement Left Neck Lymphatic with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07U307Z] Supplement Right Upper Extremity Lymphatic with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07U30JZ] Supplement Right Upper Extremity Lymphatic with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07U30KZ] Supplement Right Upper Extremity Lymphatic with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07U347Z] Supplement Right Upper Extremity Lymphatic with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07U34JZ] Supplement Right Upper Extremity Lymphatic with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07U34KZ] Supplement Right Upper Extremity Lymphatic with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07U407Z] Supplement Left Upper Extremity Lymphatic with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07U40JZ] Supplement Left Upper Extremity Lymphatic with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07U40KZ] Supplement Left Upper Extremity Lymphatic with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07U447Z] Supplement Left Upper Extremity Lymphatic with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07U44JZ] Supplement Left Upper Extremity Lymphatic with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07U44KZ] Supplement Left Upper Extremity Lymphatic with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07U507Z] Supplement Right Axillary Lymphatic with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07U50JZ] Supplement Right Axillary Lymphatic with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07U50KZ] Supplement Right Axillary Lymphatic with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07U547Z] Supplement Right Axillary Lymphatic with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07U54JZ] Supplement Right Axillary Lymphatic with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07U54KZ] Supplement Right Axillary Lymphatic with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07U607Z] Supplement Left Axillary Lymphatic with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07U60JZ] Supplement Left Axillary Lymphatic with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07U60KZ] Supplement Left Axillary Lymphatic with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07U647Z] Supplement Left Axillary Lymphatic with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07U64JZ] Supplement Left Axillary Lymphatic with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07U64KZ] Supplement Left Axillary Lymphatic with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07U707Z] Supplement Thorax Lymphatic with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07U70JZ] Supplement Thorax Lymphatic with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07U70KZ] Supplement Thorax Lymphatic with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07U747Z] Supplement Thorax Lymphatic with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07U74JZ] Supplement Thorax Lymphatic with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07U74KZ] Supplement Thorax Lymphatic with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07U807Z] Supplement Right Internal Mammary Lymphatic with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07U80JZ] Supplement Right Internal Mammary Lymphatic with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07U80KZ] Supplement Right Internal Mammary Lymphatic with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07U847Z] Supplement Right Internal Mammary Lymphatic with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07U84JZ] Supplement Right Internal Mammary Lymphatic with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07U84KZ] Supplement Right Internal Mammary Lymphatic with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07U907Z] Supplement Left Internal Mammary Lymphatic with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07U90JZ] Supplement Left Internal Mammary Lymphatic with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07U90KZ] Supplement Left Internal Mammary Lymphatic with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07U947Z] Supplement Left Internal Mammary Lymphatic with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07U94JZ] Supplement Left Internal Mammary Lymphatic with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07U94KZ] Supplement Left Internal Mammary Lymphatic with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07UB07Z] Supplement Mesenteric Lymphatic with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07UB0JZ] Supplement Mesenteric Lymphatic with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07UB0KZ] Supplement Mesenteric Lymphatic with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07UB47Z] Supplement Mesenteric Lymphatic with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07UB4JZ] Supplement Mesenteric Lymphatic with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07UB4KZ] Supplement Mesenteric Lymphatic with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07UC07Z] Supplement Pelvis Lymphatic with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07UC0JZ] Supplement Pelvis Lymphatic with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07UC0KZ] Supplement Pelvis Lymphatic with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07UC47Z] Supplement Pelvis Lymphatic with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07UC4JZ] Supplement Pelvis Lymphatic with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07UC4KZ] Supplement Pelvis Lymphatic with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07UD07Z] Supplement Aortic Lymphatic with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07UD0JZ] Supplement Aortic Lymphatic with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07UD0KZ] Supplement Aortic Lymphatic with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07UD47Z] Supplement Aortic Lymphatic with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07UD4JZ] Supplement Aortic Lymphatic with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07UD4KZ] Supplement Aortic Lymphatic with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07UF07Z] Supplement Right Lower Extremity Lymphatic with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07UF0JZ] Supplement Right Lower Extremity Lymphatic with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07UF0KZ] Supplement Right Lower Extremity Lymphatic with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07UF47Z] Supplement Right Lower Extremity Lymphatic with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07UF4JZ] Supplement Right Lower Extremity Lymphatic with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07UF4KZ] Supplement Right Lower Extremity Lymphatic with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07UG07Z] Supplement Left Lower Extremity Lymphatic with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07UG0JZ] Supplement Left Lower Extremity Lymphatic with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07UG0KZ] Supplement Left Lower Extremity Lymphatic with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07UG47Z] Supplement Left Lower Extremity Lymphatic with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07UG4JZ] Supplement Left Lower Extremity Lymphatic with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07UG4KZ] Supplement Left Lower Extremity Lymphatic with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07UH07Z] Supplement Right Inguinal Lymphatic with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07UH0JZ] Supplement Right Inguinal Lymphatic with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07UH0KZ] Supplement Right Inguinal Lymphatic with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07UH47Z] Supplement Right Inguinal Lymphatic with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07UH4JZ] Supplement Right Inguinal Lymphatic with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07UH4KZ] Supplement Right Inguinal Lymphatic with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07UJ07Z] Supplement Left Inguinal Lymphatic with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07UJ0JZ] Supplement Left Inguinal Lymphatic with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07UJ0KZ] Supplement Left Inguinal Lymphatic with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07UJ47Z] Supplement Left Inguinal Lymphatic with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07UJ4JZ] Supplement Left Inguinal Lymphatic with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07UJ4KZ] Supplement Left Inguinal Lymphatic with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07UK07Z] Supplement Thoracic Duct with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07UK0JZ] Supplement Thoracic Duct with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07UK0KZ] Supplement Thoracic Duct with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07UK47Z] Supplement Thoracic Duct with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07UK4JZ] Supplement Thoracic Duct with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07UK4KZ] Supplement Thoracic Duct with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07UL07Z] Supplement Cisterna Chyli with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07UL0JZ] Supplement Cisterna Chyli with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07UL0KZ] Supplement Cisterna Chyli with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07UL47Z] Supplement Cisterna Chyli with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07UL4JZ] Supplement Cisterna Chyli with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07UL4KZ] Supplement Cisterna Chyli with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[07V] Lymphatic and Hemic Systems, Restriction -- Partially closing an orifice or the lumen of a tubular body part
[07V00CZ] Restriction of Head Lymphatic with Extraluminal Device, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V00DZ] Restriction of Head Lymphatic with Intraluminal Device, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V00ZZ] Restriction of Head Lymphatic, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V03CZ] Restriction of Head Lymphatic with Extraluminal Device, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V03DZ] Restriction of Head Lymphatic with Intraluminal Device, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V03ZZ] Restriction of Head Lymphatic, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V04CZ] Restriction of Head Lymphatic with Extraluminal Device, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V04DZ] Restriction of Head Lymphatic with Intraluminal Device, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V04ZZ] Restriction of Head Lymphatic, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V10CZ] Restriction of Right Neck Lymphatic with Extraluminal Device, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V10DZ] Restriction of Right Neck Lymphatic with Intraluminal Device, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V10ZZ] Restriction of Right Neck Lymphatic, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V13CZ] Restriction of Right Neck Lymphatic with Extraluminal Device, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V13DZ] Restriction of Right Neck Lymphatic with Intraluminal Device, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V13ZZ] Restriction of Right Neck Lymphatic, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V14CZ] Restriction of Right Neck Lymphatic with Extraluminal Device, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V14DZ] Restriction of Right Neck Lymphatic with Intraluminal Device, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V14ZZ] Restriction of Right Neck Lymphatic, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V20CZ] Restriction of Left Neck Lymphatic with Extraluminal Device, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V20DZ] Restriction of Left Neck Lymphatic with Intraluminal Device, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V20ZZ] Restriction of Left Neck Lymphatic, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V23CZ] Restriction of Left Neck Lymphatic with Extraluminal Device, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V23DZ] Restriction of Left Neck Lymphatic with Intraluminal Device, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V23ZZ] Restriction of Left Neck Lymphatic, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V24CZ] Restriction of Left Neck Lymphatic with Extraluminal Device, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V24DZ] Restriction of Left Neck Lymphatic with Intraluminal Device, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V24ZZ] Restriction of Left Neck Lymphatic, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V30CZ] Restriction of Right Upper Extremity Lymphatic with Extraluminal Device, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V30DZ] Restriction of Right Upper Extremity Lymphatic with Intraluminal Device, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V30ZZ] Restriction of Right Upper Extremity Lymphatic, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V33CZ] Restriction of Right Upper Extremity Lymphatic with Extraluminal Device, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V33DZ] Restriction of Right Upper Extremity Lymphatic with Intraluminal Device, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V33ZZ] Restriction of Right Upper Extremity Lymphatic, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V34CZ] Restriction of Right Upper Extremity Lymphatic with Extraluminal Device, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V34DZ] Restriction of Right Upper Extremity Lymphatic with Intraluminal Device, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V34ZZ] Restriction of Right Upper Extremity Lymphatic, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V40CZ] Restriction of Left Upper Extremity Lymphatic with Extraluminal Device, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V40DZ] Restriction of Left Upper Extremity Lymphatic with Intraluminal Device, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V40ZZ] Restriction of Left Upper Extremity Lymphatic, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V43CZ] Restriction of Left Upper Extremity Lymphatic with Extraluminal Device, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V43DZ] Restriction of Left Upper Extremity Lymphatic with Intraluminal Device, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V43ZZ] Restriction of Left Upper Extremity Lymphatic, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V44CZ] Restriction of Left Upper Extremity Lymphatic with Extraluminal Device, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V44DZ] Restriction of Left Upper Extremity Lymphatic with Intraluminal Device, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V44ZZ] Restriction of Left Upper Extremity Lymphatic, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V50CZ] Restriction of Right Axillary Lymphatic with Extraluminal Device, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V50DZ] Restriction of Right Axillary Lymphatic with Intraluminal Device, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V50ZZ] Restriction of Right Axillary Lymphatic, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V53CZ] Restriction of Right Axillary Lymphatic with Extraluminal Device, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V53DZ] Restriction of Right Axillary Lymphatic with Intraluminal Device, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V53ZZ] Restriction of Right Axillary Lymphatic, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V54CZ] Restriction of Right Axillary Lymphatic with Extraluminal Device, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V54DZ] Restriction of Right Axillary Lymphatic with Intraluminal Device, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V54ZZ] Restriction of Right Axillary Lymphatic, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V60CZ] Restriction of Left Axillary Lymphatic with Extraluminal Device, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V60DZ] Restriction of Left Axillary Lymphatic with Intraluminal Device, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V60ZZ] Restriction of Left Axillary Lymphatic, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V63CZ] Restriction of Left Axillary Lymphatic with Extraluminal Device, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V63DZ] Restriction of Left Axillary Lymphatic with Intraluminal Device, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V63ZZ] Restriction of Left Axillary Lymphatic, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V64CZ] Restriction of Left Axillary Lymphatic with Extraluminal Device, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V64DZ] Restriction of Left Axillary Lymphatic with Intraluminal Device, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V64ZZ] Restriction of Left Axillary Lymphatic, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V70CZ] Restriction of Thorax Lymphatic with Extraluminal Device, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V70DZ] Restriction of Thorax Lymphatic with Intraluminal Device, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V70ZZ] Restriction of Thorax Lymphatic, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V73CZ] Restriction of Thorax Lymphatic with Extraluminal Device, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V73DZ] Restriction of Thorax Lymphatic with Intraluminal Device, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
