[0M] Bursae and Ligaments -- Body system (Bursae and Ligaments) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[0M2] Bursae and Ligaments, Change -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0M2XX0Z] Change Drainage Device in Upper Bursa and Ligament, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0M2XXYZ] Change Other Device in Upper Bursa and Ligament, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0M2YX0Z] Change Drainage Device in Lower Bursa and Ligament, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0M2YXYZ] Change Other Device in Lower Bursa and Ligament, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0M5] Bursae and Ligaments, Destruction -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0MRV47Z] Replacement of Right Lower Extremity Bursa and Ligament with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0MRV4JZ] Replacement of Right Lower Extremity Bursa and Ligament with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0MRV4KZ] Replacement of Right Lower Extremity Bursa and Ligament with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0MRW07Z] Replacement of Left Lower Extremity Bursa and Ligament with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0MRW0JZ] Replacement of Left Lower Extremity Bursa and Ligament with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0MRW0KZ] Replacement of Left Lower Extremity Bursa and Ligament with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0MRW47Z] Replacement of Left Lower Extremity Bursa and Ligament with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0MRW4JZ] Replacement of Left Lower Extremity Bursa and Ligament with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0MRW4KZ] Replacement of Left Lower Extremity Bursa and Ligament with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0MS] Bursae and Ligaments, Reposition -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0MS00ZZ] Reposition Head and Neck Bursa and Ligament, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0MS04ZZ] Reposition Head and Neck Bursa and Ligament, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0MS10ZZ] Reposition Right Shoulder Bursa and Ligament, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0MS14ZZ] Reposition Right Shoulder Bursa and Ligament, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0MS20ZZ] Reposition Left Shoulder Bursa and Ligament, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0MS24ZZ] Reposition Left Shoulder Bursa and Ligament, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0MS30ZZ] Reposition Right Elbow Bursa and Ligament, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0MS34ZZ] Reposition Right Elbow Bursa and Ligament, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0MS40ZZ] Reposition Left Elbow Bursa and Ligament, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0MS44ZZ] Reposition Left Elbow Bursa and Ligament, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0MS50ZZ] Reposition Right Wrist Bursa and Ligament, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0MS54ZZ] Reposition Right Wrist Bursa and Ligament, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0MS60ZZ] Reposition Left Wrist Bursa and Ligament, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0MS64ZZ] Reposition Left Wrist Bursa and Ligament, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0MS70ZZ] Reposition Right Hand Bursa and Ligament, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0MS74ZZ] Reposition Right Hand Bursa and Ligament, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0MS80ZZ] Reposition Left Hand Bursa and Ligament, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0MS84ZZ] Reposition Left Hand Bursa and Ligament, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0MS90ZZ] Reposition Right Upper Extremity Bursa and Ligament, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0MS94ZZ] Reposition Right Upper Extremity Bursa and Ligament, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0MSB0ZZ] Reposition Left Upper Extremity Bursa and Ligament, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0MSB4ZZ] Reposition Left Upper Extremity Bursa and Ligament, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0MSC0ZZ] Reposition Upper Spine Bursa and Ligament, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0MSC4ZZ] Reposition Upper Spine Bursa and Ligament, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0MSD0ZZ] Reposition Lower Spine Bursa and Ligament, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0MSD4ZZ] Reposition Lower Spine Bursa and Ligament, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0MSF0ZZ] Reposition Sternum Bursa and Ligament, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0MSF4ZZ] Reposition Sternum Bursa and Ligament, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0MSG0ZZ] Reposition Rib(s) Bursa and Ligament, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0MSG4ZZ] Reposition Rib(s) Bursa and Ligament, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0MSH0ZZ] Reposition Right Abdomen Bursa and Ligament, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0MSH4ZZ] Reposition Right Abdomen Bursa and Ligament, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0MSJ0ZZ] Reposition Left Abdomen Bursa and Ligament, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0MSJ4ZZ] Reposition Left Abdomen Bursa and Ligament, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0MSK0ZZ] Reposition Perineum Bursa and Ligament, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0MSK4ZZ] Reposition Perineum Bursa and Ligament, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0MSL0ZZ] Reposition Right Hip Bursa and Ligament, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0MSL4ZZ] Reposition Right Hip Bursa and Ligament, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0MSM0ZZ] Reposition Left Hip Bursa and Ligament, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0MSM4ZZ] Reposition Left Hip Bursa and Ligament, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0MSN0ZZ] Reposition Right Knee Bursa and Ligament, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0MSN4ZZ] Reposition Right Knee Bursa and Ligament, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0MSP0ZZ] Reposition Left Knee Bursa and Ligament, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0MSP4ZZ] Reposition Left Knee Bursa and Ligament, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0MSQ0ZZ] Reposition Right Ankle Bursa and Ligament, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0MSQ4ZZ] Reposition Right Ankle Bursa and Ligament, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0MSR0ZZ] Reposition Left Ankle Bursa and Ligament, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0MSR4ZZ] Reposition Left Ankle Bursa and Ligament, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0MSS0ZZ] Reposition Right Foot Bursa and Ligament, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0MSS4ZZ] Reposition Right Foot Bursa and Ligament, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0MST0ZZ] Reposition Left Foot Bursa and Ligament, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0MST4ZZ] Reposition Left Foot Bursa and Ligament, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0MSV0ZZ] Reposition Right Lower Extremity Bursa and Ligament, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0MSV4ZZ] Reposition Right Lower Extremity Bursa and Ligament, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0MSW0ZZ] Reposition Left Lower Extremity Bursa and Ligament, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0MSW4ZZ] Reposition Left Lower Extremity Bursa and Ligament, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0MT] Bursae and Ligaments, Resection -- Cutting out or off, without replacement, all of a body part
[0MT00ZZ] Resection of Head and Neck Bursa and Ligament, Open Approach -- Cutting out or off, without replacement, all of a body part
[0MT04ZZ] Resection of Head and Neck Bursa and Ligament, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0MT10ZZ] Resection of Right Shoulder Bursa and Ligament, Open Approach -- Cutting out or off, without replacement, all of a body part
[0MT14ZZ] Resection of Right Shoulder Bursa and Ligament, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0MT20ZZ] Resection of Left Shoulder Bursa and Ligament, Open Approach -- Cutting out or off, without replacement, all of a body part
[0MT24ZZ] Resection of Left Shoulder Bursa and Ligament, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0MT30ZZ] Resection of Right Elbow Bursa and Ligament, Open Approach -- Cutting out or off, without replacement, all of a body part
[0MT34ZZ] Resection of Right Elbow Bursa and Ligament, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0MT40ZZ] Resection of Left Elbow Bursa and Ligament, Open Approach -- Cutting out or off, without replacement, all of a body part
[0MT44ZZ] Resection of Left Elbow Bursa and Ligament, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0MT50ZZ] Resection of Right Wrist Bursa and Ligament, Open Approach -- Cutting out or off, without replacement, all of a body part
[0MT54ZZ] Resection of Right Wrist Bursa and Ligament, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0MT60ZZ] Resection of Left Wrist Bursa and Ligament, Open Approach -- Cutting out or off, without replacement, all of a body part
[0MT64ZZ] Resection of Left Wrist Bursa and Ligament, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0MT70ZZ] Resection of Right Hand Bursa and Ligament, Open Approach -- Cutting out or off, without replacement, all of a body part
[0MT74ZZ] Resection of Right Hand Bursa and Ligament, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0MT80ZZ] Resection of Left Hand Bursa and Ligament, Open Approach -- Cutting out or off, without replacement, all of a body part
[0MT84ZZ] Resection of Left Hand Bursa and Ligament, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0MT90ZZ] Resection of Right Upper Extremity Bursa and Ligament, Open Approach -- Cutting out or off, without replacement, all of a body part
[0MT94ZZ] Resection of Right Upper Extremity Bursa and Ligament, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0MTB0ZZ] Resection of Left Upper Extremity Bursa and Ligament, Open Approach -- Cutting out or off, without replacement, all of a body part
[0MTB4ZZ] Resection of Left Upper Extremity Bursa and Ligament, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0MTC0ZZ] Resection of Upper Spine Bursa and Ligament, Open Approach -- Cutting out or off, without replacement, all of a body part
[0MTC4ZZ] Resection of Upper Spine Bursa and Ligament, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0MTD0ZZ] Resection of Lower Spine Bursa and Ligament, Open Approach -- Cutting out or off, without replacement, all of a body part
[0MTD4ZZ] Resection of Lower Spine Bursa and Ligament, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0MTF0ZZ] Resection of Sternum Bursa and Ligament, Open Approach -- Cutting out or off, without replacement, all of a body part
[0MTF4ZZ] Resection of Sternum Bursa and Ligament, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0MTG0ZZ] Resection of Rib(s) Bursa and Ligament, Open Approach -- Cutting out or off, without replacement, all of a body part
[0MTG4ZZ] Resection of Rib(s) Bursa and Ligament, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0MTH0ZZ] Resection of Right Abdomen Bursa and Ligament, Open Approach -- Cutting out or off, without replacement, all of a body part
[0MTH4ZZ] Resection of Right Abdomen Bursa and Ligament, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0MTJ0ZZ] Resection of Left Abdomen Bursa and Ligament, Open Approach -- Cutting out or off, without replacement, all of a body part
[0MTJ4ZZ] Resection of Left Abdomen Bursa and Ligament, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0MTK0ZZ] Resection of Perineum Bursa and Ligament, Open Approach -- Cutting out or off, without replacement, all of a body part
[0MTK4ZZ] Resection of Perineum Bursa and Ligament, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0MTL0ZZ] Resection of Right Hip Bursa and Ligament, Open Approach -- Cutting out or off, without replacement, all of a body part
[0MTL4ZZ] Resection of Right Hip Bursa and Ligament, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0MTM0ZZ] Resection of Left Hip Bursa and Ligament, Open Approach -- Cutting out or off, without replacement, all of a body part
[0MTM4ZZ] Resection of Left Hip Bursa and Ligament, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0MTN0ZZ] Resection of Right Knee Bursa and Ligament, Open Approach -- Cutting out or off, without replacement, all of a body part
[0MTN4ZZ] Resection of Right Knee Bursa and Ligament, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0MTP0ZZ] Resection of Left Knee Bursa and Ligament, Open Approach -- Cutting out or off, without replacement, all of a body part
[0MTP4ZZ] Resection of Left Knee Bursa and Ligament, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0MTQ0ZZ] Resection of Right Ankle Bursa and Ligament, Open Approach -- Cutting out or off, without replacement, all of a body part
[0MTQ4ZZ] Resection of Right Ankle Bursa and Ligament, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0MTR0ZZ] Resection of Left Ankle Bursa and Ligament, Open Approach -- Cutting out or off, without replacement, all of a body part
[0MTR4ZZ] Resection of Left Ankle Bursa and Ligament, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0MTS0ZZ] Resection of Right Foot Bursa and Ligament, Open Approach -- Cutting out or off, without replacement, all of a body part
[0MTS4ZZ] Resection of Right Foot Bursa and Ligament, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0MTT0ZZ] Resection of Left Foot Bursa and Ligament, Open Approach -- Cutting out or off, without replacement, all of a body part
[0MTT4ZZ] Resection of Left Foot Bursa and Ligament, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0MTV0ZZ] Resection of Right Lower Extremity Bursa and Ligament, Open Approach -- Cutting out or off, without replacement, all of a body part
[0MTV4ZZ] Resection of Right Lower Extremity Bursa and Ligament, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0MTW0ZZ] Resection of Left Lower Extremity Bursa and Ligament, Open Approach -- Cutting out or off, without replacement, all of a body part
[0MTW4ZZ] Resection of Left Lower Extremity Bursa and Ligament, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0MU] Bursae and Ligaments, Supplement -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0MU007Z] Supplement Head and Neck Bursa and Ligament with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0MU00JZ] Supplement Head and Neck Bursa and Ligament with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0MU00KZ] Supplement Head and Neck Bursa and Ligament with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0MU047Z] Supplement Head and Neck Bursa and Ligament with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0MU04JZ] Supplement Head and Neck Bursa and Ligament with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0MU04KZ] Supplement Head and Neck Bursa and Ligament with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0MU107Z] Supplement Right Shoulder Bursa and Ligament with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0MU10JZ] Supplement Right Shoulder Bursa and Ligament with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0MU10KZ] Supplement Right Shoulder Bursa and Ligament with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0MU147Z] Supplement Right Shoulder Bursa and Ligament with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0MU14JZ] Supplement Right Shoulder Bursa and Ligament with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0MU14KZ] Supplement Right Shoulder Bursa and Ligament with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0MU207Z] Supplement Left Shoulder Bursa and Ligament with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0MU20JZ] Supplement Left Shoulder Bursa and Ligament with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0MU20KZ] Supplement Left Shoulder Bursa and Ligament with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0MU247Z] Supplement Left Shoulder Bursa and Ligament with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0MU24JZ] Supplement Left Shoulder Bursa and Ligament with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0MU24KZ] Supplement Left Shoulder Bursa and Ligament with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0MU307Z] Supplement Right Elbow Bursa and Ligament with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0MU30JZ] Supplement Right Elbow Bursa and Ligament with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0MU30KZ] Supplement Right Elbow Bursa and Ligament with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0MU347Z] Supplement Right Elbow Bursa and Ligament with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0MU34JZ] Supplement Right Elbow Bursa and Ligament with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0MU34KZ] Supplement Right Elbow Bursa and Ligament with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0MU407Z] Supplement Left Elbow Bursa and Ligament with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0MU40JZ] Supplement Left Elbow Bursa and Ligament with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0MU40KZ] Supplement Left Elbow Bursa and Ligament with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0MU447Z] Supplement Left Elbow Bursa and Ligament with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0MU44JZ] Supplement Left Elbow Bursa and Ligament with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0MU44KZ] Supplement Left Elbow Bursa and Ligament with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0MU507Z] Supplement Right Wrist Bursa and Ligament with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0MU50JZ] Supplement Right Wrist Bursa and Ligament with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0MU50KZ] Supplement Right Wrist Bursa and Ligament with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0MU547Z] Supplement Right Wrist Bursa and Ligament with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0MU54JZ] Supplement Right Wrist Bursa and Ligament with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0MU54KZ] Supplement Right Wrist Bursa and Ligament with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0MU607Z] Supplement Left Wrist Bursa and Ligament with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0MU60JZ] Supplement Left Wrist Bursa and Ligament with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0MU60KZ] Supplement Left Wrist Bursa and Ligament with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0MU647Z] Supplement Left Wrist Bursa and Ligament with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0MU64JZ] Supplement Left Wrist Bursa and Ligament with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0MU64KZ] Supplement Left Wrist Bursa and Ligament with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0MU707Z] Supplement Right Hand Bursa and Ligament with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0MU70JZ] Supplement Right Hand Bursa and Ligament with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0MU70KZ] Supplement Right Hand Bursa and Ligament with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0MU747Z] Supplement Right Hand Bursa and Ligament with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0MU74JZ] Supplement Right Hand Bursa and Ligament with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0MU74KZ] Supplement Right Hand Bursa and Ligament with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0MU807Z] Supplement Left Hand Bursa and Ligament with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0MU80JZ] Supplement Left Hand Bursa and Ligament with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0MU80KZ] Supplement Left Hand Bursa and Ligament with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0MU847Z] Supplement Left Hand Bursa and Ligament with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0MU84JZ] Supplement Left Hand Bursa and Ligament with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0MU84KZ] Supplement Left Hand Bursa and Ligament with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0MU907Z] Supplement Right Upper Extremity Bursa and Ligament with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0MU90JZ] Supplement Right Upper Extremity Bursa and Ligament with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
