[0G] Endocrine System -- Body system (Endocrine System) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[0G2] Endocrine System, Change -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0G20X0Z] Change Drainage Device in Pituitary Gland, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0G20XYZ] Change Other Device in Pituitary Gland, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0G21X0Z] Change Drainage Device in Pineal Body, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0G21XYZ] Change Other Device in Pineal Body, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0G25X0Z] Change Drainage Device in Adrenal Gland, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0G25XYZ] Change Other Device in Adrenal Gland, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0G2KX0Z] Change Drainage Device in Thyroid Gland, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0G2KXYZ] Change Other Device in Thyroid Gland, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0G2RX0Z] Change Drainage Device in Parathyroid Gland, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0G2RXYZ] Change Other Device in Parathyroid Gland, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0G2SX0Z] Change Drainage Device in Endocrine Gland, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0G2SXYZ] Change Other Device in Endocrine Gland, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0G5] Endocrine System, Destruction -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0GJ03ZZ] Inspection of Pituitary Gland, Percutaneous Approach -- Visually and/or manually exploring a body part
[0GJ04ZZ] Inspection of Pituitary Gland, Percutaneous Endoscopic Approach -- Visually and/or manually exploring a body part
[0GJ10ZZ] Inspection of Pineal Body, Open Approach -- Visually and/or manually exploring a body part
[0GJ13ZZ] Inspection of Pineal Body, Percutaneous Approach -- Visually and/or manually exploring a body part
[0GJ14ZZ] Inspection of Pineal Body, Percutaneous Endoscopic Approach -- Visually and/or manually exploring a body part
[0GJ50ZZ] Inspection of Adrenal Gland, Open Approach -- Visually and/or manually exploring a body part
[0GJ53ZZ] Inspection of Adrenal Gland, Percutaneous Approach -- Visually and/or manually exploring a body part
[0GJ54ZZ] Inspection of Adrenal Gland, Percutaneous Endoscopic Approach -- Visually and/or manually exploring a body part
[0GJK0ZZ] Inspection of Thyroid Gland, Open Approach -- Visually and/or manually exploring a body part
[0GJK3ZZ] Inspection of Thyroid Gland, Percutaneous Approach -- Visually and/or manually exploring a body part
[0GJK4ZZ] Inspection of Thyroid Gland, Percutaneous Endoscopic Approach -- Visually and/or manually exploring a body part
[0GJR0ZZ] Inspection of Parathyroid Gland, Open Approach -- Visually and/or manually exploring a body part
[0GJR3ZZ] Inspection of Parathyroid Gland, Percutaneous Approach -- Visually and/or manually exploring a body part
[0GJR4ZZ] Inspection of Parathyroid Gland, Percutaneous Endoscopic Approach -- Visually and/or manually exploring a body part
[0GJS0ZZ] Inspection of Endocrine Gland, Open Approach -- Visually and/or manually exploring a body part
[0GJS3ZZ] Inspection of Endocrine Gland, Percutaneous Approach -- Visually and/or manually exploring a body part
[0GJS4ZZ] Inspection of Endocrine Gland, Percutaneous Endoscopic Approach -- Visually and/or manually exploring a body part
[0GM] Endocrine System, Reattachment -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0GM20ZZ] Reattachment of Left Adrenal Gland, Open Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0GM24ZZ] Reattachment of Left Adrenal Gland, Percutaneous Endoscopic Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0GM30ZZ] Reattachment of Right Adrenal Gland, Open Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0GM34ZZ] Reattachment of Right Adrenal Gland, Percutaneous Endoscopic Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0GMG0ZZ] Reattachment of Left Thyroid Gland Lobe, Open Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0GMG4ZZ] Reattachment of Left Thyroid Gland Lobe, Percutaneous Endoscopic Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0GMH0ZZ] Reattachment of Right Thyroid Gland Lobe, Open Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0GMH4ZZ] Reattachment of Right Thyroid Gland Lobe, Percutaneous Endoscopic Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0GML0ZZ] Reattachment of Right Superior Parathyroid Gland, Open Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0GML4ZZ] Reattachment of Right Superior Parathyroid Gland, Percutaneous Endoscopic Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0GMM0ZZ] Reattachment of Left Superior Parathyroid Gland, Open Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0GMM4ZZ] Reattachment of Left Superior Parathyroid Gland, Percutaneous Endoscopic Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0GMN0ZZ] Reattachment of Right Inferior Parathyroid Gland, Open Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0GMN4ZZ] Reattachment of Right Inferior Parathyroid Gland, Percutaneous Endoscopic Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0GMP0ZZ] Reattachment of Left Inferior Parathyroid Gland, Open Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0GMP4ZZ] Reattachment of Left Inferior Parathyroid Gland, Percutaneous Endoscopic Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0GMQ0ZZ] Reattachment of Multiple Parathyroid Glands, Open Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0GMQ4ZZ] Reattachment of Multiple Parathyroid Glands, Percutaneous Endoscopic Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0GMR0ZZ] Reattachment of Parathyroid Gland, Open Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0GMR4ZZ] Reattachment of Parathyroid Gland, Percutaneous Endoscopic Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0GN] Endocrine System, Release -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0GN00ZZ] Release Pituitary Gland, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0GN03ZZ] Release Pituitary Gland, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0GN04ZZ] Release Pituitary Gland, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0GN10ZZ] Release Pineal Body, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0GN13ZZ] Release Pineal Body, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0GN14ZZ] Release Pineal Body, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0GN20ZZ] Release Left Adrenal Gland, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0GN23ZZ] Release Left Adrenal Gland, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0GN24ZZ] Release Left Adrenal Gland, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0GN30ZZ] Release Right Adrenal Gland, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0GN33ZZ] Release Right Adrenal Gland, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0GN34ZZ] Release Right Adrenal Gland, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0GN40ZZ] Release Bilateral Adrenal Glands, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0GN43ZZ] Release Bilateral Adrenal Glands, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0GN44ZZ] Release Bilateral Adrenal Glands, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0GN60ZZ] Release Left Carotid Body, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0GN63ZZ] Release Left Carotid Body, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0GN64ZZ] Release Left Carotid Body, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0GN70ZZ] Release Right Carotid Body, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0GN73ZZ] Release Right Carotid Body, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0GN74ZZ] Release Right Carotid Body, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0GN80ZZ] Release Bilateral Carotid Bodies, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0GN83ZZ] Release Bilateral Carotid Bodies, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0GN84ZZ] Release Bilateral Carotid Bodies, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0GN90ZZ] Release Para-aortic Body, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0GN93ZZ] Release Para-aortic Body, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0GN94ZZ] Release Para-aortic Body, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0GNB0ZZ] Release Coccygeal Glomus, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0GNB3ZZ] Release Coccygeal Glomus, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0GNB4ZZ] Release Coccygeal Glomus, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0GNC0ZZ] Release Glomus Jugulare, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0GNC3ZZ] Release Glomus Jugulare, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0GNC4ZZ] Release Glomus Jugulare, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0GND0ZZ] Release Aortic Body, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0GND3ZZ] Release Aortic Body, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0GND4ZZ] Release Aortic Body, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0GNF0ZZ] Release Paraganglion Extremity, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0GNF3ZZ] Release Paraganglion Extremity, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0GNF4ZZ] Release Paraganglion Extremity, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0GNG0ZZ] Release Left Thyroid Gland Lobe, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0GNG3ZZ] Release Left Thyroid Gland Lobe, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0GNG4ZZ] Release Left Thyroid Gland Lobe, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0GNH0ZZ] Release Right Thyroid Gland Lobe, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0GNH3ZZ] Release Right Thyroid Gland Lobe, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0GNH4ZZ] Release Right Thyroid Gland Lobe, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0GNK0ZZ] Release Thyroid Gland, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0GNK3ZZ] Release Thyroid Gland, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0GNK4ZZ] Release Thyroid Gland, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0GNL0ZZ] Release Right Superior Parathyroid Gland, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0GNL3ZZ] Release Right Superior Parathyroid Gland, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0GNL4ZZ] Release Right Superior Parathyroid Gland, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0GNM0ZZ] Release Left Superior Parathyroid Gland, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0GNM3ZZ] Release Left Superior Parathyroid Gland, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0GNM4ZZ] Release Left Superior Parathyroid Gland, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0GNN0ZZ] Release Right Inferior Parathyroid Gland, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0GNN3ZZ] Release Right Inferior Parathyroid Gland, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0GNN4ZZ] Release Right Inferior Parathyroid Gland, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0GNP0ZZ] Release Left Inferior Parathyroid Gland, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0GNP3ZZ] Release Left Inferior Parathyroid Gland, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0GNP4ZZ] Release Left Inferior Parathyroid Gland, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0GNQ0ZZ] Release Multiple Parathyroid Glands, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0GNQ3ZZ] Release Multiple Parathyroid Glands, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0GNQ4ZZ] Release Multiple Parathyroid Glands, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0GNR0ZZ] Release Parathyroid Gland, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0GNR3ZZ] Release Parathyroid Gland, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0GNR4ZZ] Release Parathyroid Gland, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0GP] Endocrine System, Removal -- Taking out or off a device from a body part
[0GP000Z] Removal of Drainage Device from Pituitary Gland, Open Approach -- Taking out or off a device from a body part
[0GP030Z] Removal of Drainage Device from Pituitary Gland, Percutaneous Approach -- Taking out or off a device from a body part
[0GP040Z] Removal of Drainage Device from Pituitary Gland, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[0GP0X0Z] Removal of Drainage Device from Pituitary Gland, External Approach -- Taking out or off a device from a body part
[0GP100Z] Removal of Drainage Device from Pineal Body, Open Approach -- Taking out or off a device from a body part
[0GP130Z] Removal of Drainage Device from Pineal Body, Percutaneous Approach -- Taking out or off a device from a body part
[0GP140Z] Removal of Drainage Device from Pineal Body, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[0GP1X0Z] Removal of Drainage Device from Pineal Body, External Approach -- Taking out or off a device from a body part
[0GP500Z] Removal of Drainage Device from Adrenal Gland, Open Approach -- Taking out or off a device from a body part
[0GP530Z] Removal of Drainage Device from Adrenal Gland, Percutaneous Approach -- Taking out or off a device from a body part
[0GP540Z] Removal of Drainage Device from Adrenal Gland, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[0GP5X0Z] Removal of Drainage Device from Adrenal Gland, External Approach -- Taking out or off a device from a body part
[0GPK00Z] Removal of Drainage Device from Thyroid Gland, Open Approach -- Taking out or off a device from a body part
[0GPK30Z] Removal of Drainage Device from Thyroid Gland, Percutaneous Approach -- Taking out or off a device from a body part
[0GPK40Z] Removal of Drainage Device from Thyroid Gland, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[0GPKX0Z] Removal of Drainage Device from Thyroid Gland, External Approach -- Taking out or off a device from a body part
[0GPR00Z] Removal of Drainage Device from Parathyroid Gland, Open Approach -- Taking out or off a device from a body part
[0GPR30Z] Removal of Drainage Device from Parathyroid Gland, Percutaneous Approach -- Taking out or off a device from a body part
[0GPR40Z] Removal of Drainage Device from Parathyroid Gland, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[0GPRX0Z] Removal of Drainage Device from Parathyroid Gland, External Approach -- Taking out or off a device from a body part
[0GPS00Z] Removal of Drainage Device from Endocrine Gland, Open Approach -- Taking out or off a device from a body part
[0GPS02Z] Removal of Monitoring Device from Endocrine Gland, Open Approach -- Taking out or off a device from a body part
[0GPS03Z] Removal of Infusion Device from Endocrine Gland, Open Approach -- Taking out or off a device from a body part
[0GPS0YZ] Removal of Other Device from Endocrine Gland, Open Approach -- Taking out or off a device from a body part
[0GPS30Z] Removal of Drainage Device from Endocrine Gland, Percutaneous Approach -- Taking out or off a device from a body part
[0GPS32Z] Removal of Monitoring Device from Endocrine Gland, Percutaneous Approach -- Taking out or off a device from a body part
[0GPS33Z] Removal of Infusion Device from Endocrine Gland, Percutaneous Approach -- Taking out or off a device from a body part
[0GPS3YZ] Removal of Other Device from Endocrine Gland, Percutaneous Approach -- Taking out or off a device from a body part
[0GPS40Z] Removal of Drainage Device from Endocrine Gland, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[0GPS42Z] Removal of Monitoring Device from Endocrine Gland, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[0GPS43Z] Removal of Infusion Device from Endocrine Gland, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[0GPS4YZ] Removal of Other Device from Endocrine Gland, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[0GPSX0Z] Removal of Drainage Device from Endocrine Gland, External Approach -- Taking out or off a device from a body part
[0GPSX2Z] Removal of Monitoring Device from Endocrine Gland, External Approach -- Taking out or off a device from a body part
[0GPSX3Z] Removal of Infusion Device from Endocrine Gland, External Approach -- Taking out or off a device from a body part
[0GQ] Endocrine System, Repair -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0GQ00ZZ] Repair Pituitary Gland, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0GQ03ZZ] Repair Pituitary Gland, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0GQ04ZZ] Repair Pituitary Gland, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0GQ10ZZ] Repair Pineal Body, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0GQ13ZZ] Repair Pineal Body, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0GQ14ZZ] Repair Pineal Body, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0GQ20ZZ] Repair Left Adrenal Gland, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0GQ23ZZ] Repair Left Adrenal Gland, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0GQ24ZZ] Repair Left Adrenal Gland, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0GQ30ZZ] Repair Right Adrenal Gland, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0GQ33ZZ] Repair Right Adrenal Gland, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0GQ34ZZ] Repair Right Adrenal Gland, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0GQ40ZZ] Repair Bilateral Adrenal Glands, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0GQ43ZZ] Repair Bilateral Adrenal Glands, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0GQ44ZZ] Repair Bilateral Adrenal Glands, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0GQ60ZZ] Repair Left Carotid Body, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0GQ63ZZ] Repair Left Carotid Body, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0GQ64ZZ] Repair Left Carotid Body, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0GQ70ZZ] Repair Right Carotid Body, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0GQ73ZZ] Repair Right Carotid Body, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0GQ74ZZ] Repair Right Carotid Body, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0GQ80ZZ] Repair Bilateral Carotid Bodies, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0GQ83ZZ] Repair Bilateral Carotid Bodies, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0GQ84ZZ] Repair Bilateral Carotid Bodies, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0GQ90ZZ] Repair Para-aortic Body, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0GQ93ZZ] Repair Para-aortic Body, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0GQ94ZZ] Repair Para-aortic Body, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0GQB0ZZ] Repair Coccygeal Glomus, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0GQB3ZZ] Repair Coccygeal Glomus, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0GQB4ZZ] Repair Coccygeal Glomus, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0GQC0ZZ] Repair Glomus Jugulare, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0GQC3ZZ] Repair Glomus Jugulare, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0GQC4ZZ] Repair Glomus Jugulare, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0GQD0ZZ] Repair Aortic Body, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0GQD3ZZ] Repair Aortic Body, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0GQD4ZZ] Repair Aortic Body, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0GQF0ZZ] Repair Paraganglion Extremity, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0GQF3ZZ] Repair Paraganglion Extremity, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0GQF4ZZ] Repair Paraganglion Extremity, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0GQG0ZZ] Repair Left Thyroid Gland Lobe, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0GQG3ZZ] Repair Left Thyroid Gland Lobe, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0GQG4ZZ] Repair Left Thyroid Gland Lobe, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0GQH0ZZ] Repair Right Thyroid Gland Lobe, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0GQH3ZZ] Repair Right Thyroid Gland Lobe, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0GQH4ZZ] Repair Right Thyroid Gland Lobe, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0GQJ0ZZ] Repair Thyroid Gland Isthmus, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0GQJ3ZZ] Repair Thyroid Gland Isthmus, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0GQJ4ZZ] Repair Thyroid Gland Isthmus, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0GQK0ZZ] Repair Thyroid Gland, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0GQK3ZZ] Repair Thyroid Gland, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0GQK4ZZ] Repair Thyroid Gland, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0GQL0ZZ] Repair Right Superior Parathyroid Gland, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0GQL3ZZ] Repair Right Superior Parathyroid Gland, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0GQL4ZZ] Repair Right Superior Parathyroid Gland, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0GQM0ZZ] Repair Left Superior Parathyroid Gland, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0GQM3ZZ] Repair Left Superior Parathyroid Gland, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0GQM4ZZ] Repair Left Superior Parathyroid Gland, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0GQN0ZZ] Repair Right Inferior Parathyroid Gland, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0GQN3ZZ] Repair Right Inferior Parathyroid Gland, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0GQN4ZZ] Repair Right Inferior Parathyroid Gland, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0GQP0ZZ] Repair Left Inferior Parathyroid Gland, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0GQP3ZZ] Repair Left Inferior Parathyroid Gland, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0GQP4ZZ] Repair Left Inferior Parathyroid Gland, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0GQQ0ZZ] Repair Multiple Parathyroid Glands, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
